item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,threshold_gap
English#EN-Alto-1#Breathy#sleepyhead#Breathy_Group#0001,EN-Alto-1,sleepyhead,Breathy_Group,positive_mix,breathy_mix,0.398285,0.001715
English#EN-Alto-1#Pharyngeal#who says#Control_Group#0003,EN-Alto-1,who says,Control_Group,positive_mix,clear_mix,0.397548,0.002452
English#EN-Alto-1#Pharyngeal#somewhere over the rainbow#Control_Group#0006,EN-Alto-1,somewhere over the rainbow,Control_Group,positive_mix,clear_mix,0.396685,0.003315
English#EN-Alto-1#Mixed_Voice_and_Falsetto#yesterday once more#Mixed_Voice_Group#0004,EN-Alto-1,yesterday once more,Mixed_Voice_Group,positive_mix,clear_mix,0.395951,0.004049
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0019,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.394693,0.005307
English#EN-Alto-1#Mixed_Voice_and_Falsetto#seasons in the sun#Mixed_Voice_Group#0019,EN-Alto-1,seasons in the sun,Mixed_Voice_Group,positive_mix,clear_mix,0.394141,0.005859
English#EN-Alto-1#Glissando#make it shine#Glissando_Group#0015,EN-Alto-1,make it shine,Glissando_Group,positive_mix,clear_mix,0.393436,0.006564
English#EN-Alto-1#Vibrato#memory#Vibrato_Group#0014,EN-Alto-1,memory,Vibrato_Group,positive_mix,clear_mix,0.393065,0.006935
English#EN-Alto-2#Vibrato#My Heart Will Go On#Vibrato_Group#0003,EN-Alto-2,My Heart Will Go On,Vibrato_Group,positive_mix,clear_mix,0.391243,0.008757
English#EN-Alto-1#Breathy#who says#Breathy_Group#0015,EN-Alto-1,who says,Breathy_Group,positive_mix,breathy_mix,0.391157,0.008843
English#EN-Alto-1#Vibrato#if you love me for me#Vibrato_Group#0010,EN-Alto-1,if you love me for me,Vibrato_Group,positive_mix,clear_mix,0.390886,0.009114
English#EN-Alto-1#Glissando#trouble is a friend#Control_Group#0012,EN-Alto-1,trouble is a friend,Control_Group,positive_mix,clear_mix,0.389861,0.010139
