item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,threshold_gap
English#EN-Tenor-1#Vibrato#Rolling in the Deep#Vibrato_Group#0006,EN-Tenor-1,Rolling in the Deep,Vibrato_Group,positive_mix,clear_mix,0.424742,0.000258
English#EN-Alto-2#Vibrato#My Heart Will Go On#Vibrato_Group#0008,EN-Alto-2,My Heart Will Go On,Vibrato_Group,positive_mix,clear_mix,0.422815,0.002185
English#EN-Alto-2#Vibrato#You Raise Me Up#Vibrato_Group#0005,EN-Alto-2,You Raise Me Up,Vibrato_Group,positive_mix,clear_mix,0.42244,0.00256
English#EN-Alto-1#Vibrato#my heart will go on#Vibrato_Group#0007,EN-Alto-1,my heart will go on,Vibrato_Group,positive_mix,clear_mix,0.422429,0.002571
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0010,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.421898,0.003102
English#EN-Alto-1#Breathy#all is found#Control_Group#0012,EN-Alto-1,all is found,Control_Group,positive_mix,clear_mix,0.421646,0.003354
English#EN-Tenor-1#Glissando#Shallow#Glissando_Group#0005,EN-Tenor-1,Shallow,Glissando_Group,positive_mix,clear_mix,0.421425,0.003575
English#EN-Alto-1#Glissando#make it shine#Control_Group#0012,EN-Alto-1,make it shine,Control_Group,positive_mix,clear_mix,0.420845,0.004155
English#EN-Alto-2#Breathy#Someone You Loved#Control_Group#0001,EN-Alto-2,Someone You Loved,Control_Group,positive_mix,clear_mix,0.420824,0.004176
English#EN-Alto-2#Glissando#Someone You Loved#Control_Group#0001,EN-Alto-2,Someone You Loved,Control_Group,positive_mix,clear_mix,0.420824,0.004176
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Mixed_Voice_Group#0001,EN-Alto-2,Someone You Loved,Mixed_Voice_Group,positive_mix,clear_mix,0.420824,0.004176
English#EN-Alto-2#Pharyngeal#Someone You Loved#Control_Group#0001,EN-Alto-2,Someone You Loved,Control_Group,positive_mix,clear_mix,0.420824,0.004176
English#EN-Alto-2#Vibrato#Someone You Loved#Control_Group#0001,EN-Alto-2,Someone You Loved,Control_Group,positive_mix,clear_mix,0.420824,0.004176
English#EN-Tenor-1#Breathy#Shallow#Control_Group#0002,EN-Tenor-1,Shallow,Control_Group,positive_mix,clear_mix,0.419958,0.005042
English#EN-Tenor-1#Glissando#Shallow#Control_Group#0002,EN-Tenor-1,Shallow,Control_Group,positive_mix,clear_mix,0.419958,0.005042
English#EN-Tenor-1#Pharyngeal#Shallow#Control_Group#0002,EN-Tenor-1,Shallow,Control_Group,positive_mix,clear_mix,0.419958,0.005042
English#EN-Alto-2#Breathy#Fly Me to the Moon#Control_Group#0000,EN-Alto-2,Fly Me to the Moon,Control_Group,positive_mix,clear_mix,0.419229,0.005771
English#EN-Alto-2#Glissando#Fly Me to the Moon#Control_Group#0000,EN-Alto-2,Fly Me to the Moon,Control_Group,positive_mix,clear_mix,0.419229,0.005771
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Fly Me to the Moon#Mixed_Voice_Group#0000,EN-Alto-2,Fly Me to the Moon,Mixed_Voice_Group,positive_mix,clear_mix,0.419229,0.005771
English#EN-Alto-2#Pharyngeal#Fly Me to the Moon#Control_Group#0000,EN-Alto-2,Fly Me to the Moon,Control_Group,positive_mix,clear_mix,0.419229,0.005771
English#EN-Alto-2#Vibrato#Fly Me to the Moon#Control_Group#0000,EN-Alto-2,Fly Me to the Moon,Control_Group,positive_mix,clear_mix,0.419229,0.005771
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Mixed_Voice_Group#0004,EN-Alto-2,All of Me,Mixed_Voice_Group,positive_mix,clear_mix,0.418983,0.006017
English#EN-Alto-2#Glissando#Yesterday Once More#Glissando_Group#0001,EN-Alto-2,Yesterday Once More,Glissando_Group,positive_mix,clear_mix,0.418706,0.006294
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Mixed_Voice_Group#0004,EN-Alto-1,how does a moment last forever,Mixed_Voice_Group,positive_mix,clear_mix,0.418404,0.006596
English#EN-Alto-1#Glissando#trouble is a friend#Glissando_Group#0004,EN-Alto-1,trouble is a friend,Glissando_Group,positive_mix,clear_mix,0.418267,0.006733
English#EN-Alto-1#Mixed_Voice_and_Falsetto#how does a moment last forever#Mixed_Voice_Group#0007,EN-Alto-1,how does a moment last forever,Mixed_Voice_Group,positive_mix,clear_mix,0.417896,0.007104
English#EN-Alto-2#Glissando#All of Me#Glissando_Group#0007,EN-Alto-2,All of Me,Glissando_Group,positive_mix,clear_mix,0.417674,0.007326
English#EN-Tenor-1#Vibrato#I Knew You Were Trouble#Vibrato_Group#0001,EN-Tenor-1,I Knew You Were Trouble,Vibrato_Group,positive_mix,clear_mix,0.41731,0.00769
English#EN-Tenor-1#Glissando#Stay#Control_Group#0008,EN-Tenor-1,Stay,Control_Group,positive_mix,clear_mix,0.416679,0.008321
English#EN-Tenor-1#Breathy#What Was I Made For？#Control_Group#0002,EN-Tenor-1,What Was I Made For？,Control_Group,positive_mix,clear_mix,0.41636,0.00864
English#EN-Alto-1#Mixed_Voice_and_Falsetto#my love#Mixed_Voice_Group#0007,EN-Alto-1,my love,Mixed_Voice_Group,positive_mix,clear_mix,0.41602,0.00898
English#EN-Tenor-1#Glissando#Stay#Control_Group#0011,EN-Tenor-1,Stay,Control_Group,positive_mix,clear_mix,0.415236,0.009764
English#EN-Alto-1#Pharyngeal#clouds#Control_Group#0004,EN-Alto-1,clouds,Control_Group,positive_mix,clear_mix,0.414704,0.010296
English#EN-Tenor-1#Glissando#Enchanted#Glissando_Group#0000,EN-Tenor-1,Enchanted,Glissando_Group,positive_mix,clear_mix,0.414522,0.010478
English#EN-Alto-1#Vibrato#if you love me for me#Control_Group#0012,EN-Alto-1,if you love me for me,Control_Group,positive_mix,clear_mix,0.414344,0.010656
English#EN-Tenor-1#Vibrato#What Was I Made For？#Vibrato_Group#0001,EN-Tenor-1,What Was I Made For？,Vibrato_Group,positive_mix,clear_mix,0.413702,0.011298
English#EN-Alto-1#Glissando#trouble is a friend#Control_Group#0012,EN-Alto-1,trouble is a friend,Control_Group,positive_mix,clear_mix,0.413337,0.011663
English#EN-Tenor-1#Pharyngeal#What Was I Made For？#Control_Group#0003,EN-Tenor-1,What Was I Made For？,Control_Group,positive_mix,clear_mix,0.413109,0.011891
English#EN-Tenor-1#Vibrato#I Knew You Were Trouble#Vibrato_Group#0005,EN-Tenor-1,I Knew You Were Trouble,Vibrato_Group,positive_mix,clear_mix,0.412036,0.012964
English#EN-Tenor-1#Vibrato#What Was I Made For？#Control_Group#0002,EN-Tenor-1,What Was I Made For？,Control_Group,positive_mix,clear_mix,0.411027,0.013973
English#EN-Alto-1#Mixed_Voice_and_Falsetto#make it shine#Mixed_Voice_Group#0011,EN-Alto-1,make it shine,Mixed_Voice_Group,positive_mix,clear_mix,0.410328,0.014672
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Mixed_Voice_Group#0001,EN-Alto-2,Try,Mixed_Voice_Group,positive_mix,clear_mix,0.409946,0.015054
English#EN-Alto-1#Glissando#for the first time in forever#Glissando_Group#0010,EN-Alto-1,for the first time in forever,Glissando_Group,positive_mix,clear_mix,0.409938,0.015062
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Sparks Fly#Mixed_Voice_Group#0000,EN-Tenor-1,Sparks Fly,Mixed_Voice_Group,positive_mix,clear_mix,0.409415,0.015585
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Mixed_Voice_Group#0007,EN-Tenor-1,Shallow,Mixed_Voice_Group,positive_mix,clear_mix,0.409352,0.015648
English#EN-Alto-2#Vibrato#Love Story#Vibrato_Group#0001,EN-Alto-2,Love Story,Vibrato_Group,positive_mix,clear_mix,0.409293,0.015707
English#EN-Tenor-1#Glissando#What Was I Made For？#Glissando_Group#0002,EN-Tenor-1,What Was I Made For？,Glissando_Group,positive_mix,clear_mix,0.409162,0.015838
English#EN-Alto-2#Glissando#What Are Words#Glissando_Group#0000,EN-Alto-2,What Are Words,Glissando_Group,positive_mix,clear_mix,0.408948,0.016052
English#EN-Alto-2#Vibrato#My Love#Vibrato_Group#0003,EN-Alto-2,My Love,Vibrato_Group,positive_mix,clear_mix,0.408286,0.016714
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Mixed_Voice_Group#0003,EN-Tenor-1,Take a Bow,Mixed_Voice_Group,positive_mix,clear_mix,0.408247,0.016753
English#EN-Tenor-1#Breathy#Rolling in the Deep#Control_Group#0005,EN-Tenor-1,Rolling in the Deep,Control_Group,positive_mix,clear_mix,0.407312,0.017688
English#EN-Tenor-1#Pharyngeal#Rolling in the Deep#Control_Group#0005,EN-Tenor-1,Rolling in the Deep,Control_Group,positive_mix,clear_mix,0.407312,0.017688
English#EN-Tenor-1#Vibrato#Rolling in the Deep#Control_Group#0005,EN-Tenor-1,Rolling in the Deep,Control_Group,positive_mix,clear_mix,0.407312,0.017688
English#EN-Alto-1#Glissando#tell me that you love me#Glissando_Group#0013,EN-Alto-1,tell me that you love me,Glissando_Group,positive_mix,clear_mix,0.407206,0.017794
English#EN-Alto-1#Glissando#god is a girl#Glissando_Group#0001,EN-Alto-1,god is a girl,Glissando_Group,positive_mix,clear_mix,0.40655,0.01845
English#EN-Alto-1#Mixed_Voice_and_Falsetto#let it go#Mixed_Voice_Group#0016,EN-Alto-1,let it go,Mixed_Voice_Group,positive_mix,clear_mix,0.405997,0.019003
English#EN-Alto-1#Vibrato#edelweiss#Vibrato_Group#0004,EN-Alto-1,edelweiss,Vibrato_Group,positive_mix,clear_mix,0.405993,0.019007
English#EN-Alto-1#Vibrato#if you love me for me#Vibrato_Group#0000,EN-Alto-1,if you love me for me,Vibrato_Group,positive_mix,clear_mix,0.405507,0.019493
English#EN-Alto-2#Vibrato#You Raise Me Up#Vibrato_Group#0000,EN-Alto-2,You Raise Me Up,Vibrato_Group,positive_mix,clear_mix,0.40476,0.02024
English#EN-Alto-1#Mixed_Voice_and_Falsetto#Arriety's song#Mixed_Voice_Group#0008,EN-Alto-1,Arriety's song,Mixed_Voice_Group,positive_mix,clear_mix,0.404629,0.020371
English#EN-Tenor-1#Glissando#Long Live#Glissando_Group#0011,EN-Tenor-1,Long Live,Glissando_Group,positive_mix,clear_mix,0.404474,0.020526
English#EN-Alto-1#Glissando#my love#Glissando_Group#0001,EN-Alto-1,my love,Glissando_Group,positive_mix,clear_mix,0.404361,0.020639
English#EN-Alto-2#Vibrato#Someone Like You#Control_Group#0003,EN-Alto-2,Someone Like You,Control_Group,positive_mix,clear_mix,0.404309,0.020691
English#EN-Alto-1#Breathy#god is a girl#Control_Group#0002,EN-Alto-1,god is a girl,Control_Group,positive_mix,clear_mix,0.403242,0.021758
English#EN-Alto-1#Mixed_Voice_and_Falsetto#big big world#Mixed_Voice_Group#0001,EN-Alto-1,big big world,Mixed_Voice_Group,positive_mix,clear_mix,0.403227,0.021773
English#EN-Tenor-1#Glissando#Stay#Glissando_Group#0005,EN-Tenor-1,Stay,Glissando_Group,positive_mix,clear_mix,0.40292,0.02208
English#EN-Alto-1#Vibrato#my heart will go on#Control_Group#0002,EN-Alto-1,my heart will go on,Control_Group,positive_mix,clear_mix,0.40272,0.02228
English#EN-Alto-1#Pharyngeal#tell me that you love me#Control_Group#0002,EN-Alto-1,tell me that you love me,Control_Group,positive_mix,clear_mix,0.402712,0.022288
English#EN-Tenor-1#Vibrato#Stay#Vibrato_Group#0006,EN-Tenor-1,Stay,Vibrato_Group,positive_mix,clear_mix,0.402444,0.022556
English#EN-Tenor-1#Vibrato#You Belong With Me#Control_Group#0012,EN-Tenor-1,You Belong With Me,Control_Group,positive_mix,clear_mix,0.402134,0.022866
