item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,fp_margin
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Falsetto_Group#0003,EN-Tenor-1,I Knew You Were Trouble,Falsetto_Group,falsetto_group,non_mix,0.995131,0.570131
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0001,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.993445,0.568445
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0003,EN-Tenor-1,Unconditionally,Falsetto_Group,falsetto_group,non_mix,0.99055,0.56555
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0003,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.98599,0.56099
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0010,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.982974,0.557974
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0007,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.981698,0.556698
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0006,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.980686,0.555686
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0008,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.979094,0.554094
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0008,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.978126,0.553126
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Look What You Make Me Do#Control_Group#0001,EN-Tenor-1,Look What You Make Me Do,Control_Group,control_negative,non_mix,0.977093,0.552093
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0006,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.972831,0.547831
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0012,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.966853,0.541853
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0007,EN-Tenor-1,Cardigan,Falsetto_Group,falsetto_group,non_mix,0.966362,0.541362
English#EN-Tenor-1#Glissando#All I Ask#Glissando_Group#0001,EN-Tenor-1,All I Ask,Glissando_Group,other_negative,non_mix,0.966347,0.541347
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Control_Group#0004,EN-Tenor-1,Always Remember Us This Way,Control_Group,control_negative,non_mix,0.964651,0.539651
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Falsetto_Group#0004,EN-Tenor-1,I Knew You Were Trouble,Falsetto_Group,falsetto_group,non_mix,0.963894,0.538894
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Call Out My Name#Falsetto_Group#0003,EN-Tenor-1,Call Out My Name,Falsetto_Group,falsetto_group,non_mix,0.9635,0.5385
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0009,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.960252,0.535252
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0002,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.96008,0.53508
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0004,EN-Tenor-1,Exile,Control_Group,control_negative,non_mix,0.959348,0.534348
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0006,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.957304,0.532304
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0003,EN-Tenor-1,Exile,Control_Group,control_negative,non_mix,0.952789,0.527789
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0002,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.938694,0.513694
English#EN-Tenor-1#Vibrato#All I Ask#Vibrato_Group#0001,EN-Tenor-1,All I Ask,Vibrato_Group,other_negative,non_mix,0.937558,0.512558
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0006,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.936886,0.511886
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0002,EN-Tenor-1,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.936876,0.511876
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0000,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.936373,0.511373
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0002,EN-Tenor-1,August,Falsetto_Group,falsetto_group,non_mix,0.933973,0.508973
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0008,EN-Tenor-1,Cardigan,Falsetto_Group,falsetto_group,non_mix,0.933504,0.508504
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0015,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.93347,0.50847
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0002,EN-Tenor-1,Blank Space,Control_Group,control_negative,non_mix,0.931192,0.506192
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0005,EN-Tenor-1,August,Falsetto_Group,falsetto_group,non_mix,0.931141,0.506141
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0000,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.929867,0.504867
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0003,EN-Tenor-1,Cardigan,Falsetto_Group,falsetto_group,non_mix,0.928413,0.503413
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0001,EN-Tenor-1,Blank Space,Control_Group,control_negative,non_mix,0.928361,0.503361
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0000,EN-Tenor-1,Blank Space,Control_Group,control_negative,non_mix,0.928009,0.503009
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0001,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.927403,0.502403
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0004,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.92535,0.50035
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0002,EN-Tenor-1,Exile,Control_Group,control_negative,non_mix,0.924896,0.499896
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0002,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.924569,0.499569
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Someone You Loved#Falsetto_Group#0000,EN-Tenor-1,Someone You Loved,Falsetto_Group,falsetto_group,non_mix,0.923234,0.498234
English#EN-Tenor-1#Glissando#Someone Like You#Glissando_Group#0001,EN-Tenor-1,Someone Like You,Glissando_Group,other_negative,non_mix,0.922932,0.497932
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0002,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.920891,0.495891
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0005,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.920623,0.495623
English#EN-Tenor-1#Vibrato#Someone Like You#Vibrato_Group#0006,EN-Tenor-1,Someone Like You,Vibrato_Group,other_negative,non_mix,0.917916,0.492916
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0006,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.913944,0.488944
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Look What You Make Me Do#Control_Group#0000,EN-Tenor-1,Look What You Make Me Do,Control_Group,control_negative,non_mix,0.912538,0.487538
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Lavender Haze#Falsetto_Group#0002,EN-Tenor-1,Lavender Haze,Falsetto_Group,falsetto_group,non_mix,0.908802,0.483802
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Diamonds#Falsetto_Group#0006,EN-Tenor-1,Diamonds,Falsetto_Group,falsetto_group,non_mix,0.906937,0.481937
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0002,EN-Tenor-1,Wildest Dreams,Falsetto_Group,falsetto_group,non_mix,0.905695,0.480695
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0005,EN-Tenor-1,Love on the Brain,Falsetto_Group,falsetto_group,non_mix,0.903655,0.478655
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0006,EN-Tenor-1,Unconditionally,Falsetto_Group,falsetto_group,non_mix,0.902482,0.477482
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0005,EN-Tenor-1,Love Story,Control_Group,control_negative,non_mix,0.896732,0.471732
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0009,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.894524,0.469524
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Umbrella#Falsetto_Group#0002,EN-Tenor-1,Umbrella,Falsetto_Group,falsetto_group,non_mix,0.893029,0.468029
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0001,EN-Tenor-1,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.890251,0.465251
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0005,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,falsetto_group,non_mix,0.887607,0.462607
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Shallow#Falsetto_Group#0004,EN-Tenor-1,Shallow,Falsetto_Group,falsetto_group,non_mix,0.885735,0.460735
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0000,EN-Tenor-1,Young and Beautiful,Falsetto_Group,falsetto_group,non_mix,0.884584,0.459584
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Control_Group#0004,EN-Tenor-1,I Knew You Were Trouble,Control_Group,control_negative,non_mix,0.883,0.458
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Control_Group#0006,EN-Tenor-1,Take a Bow,Control_Group,control_negative,non_mix,0.881819,0.456819
English#EN-Tenor-1#Vibrato#All I Ask#Vibrato_Group#0000,EN-Tenor-1,All I Ask,Vibrato_Group,other_negative,non_mix,0.880708,0.455708
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0004,EN-Tenor-1,Unconditionally,Control_Group,control_negative,non_mix,0.877801,0.452801
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Wildest Dreams#Falsetto_Group#0007,EN-Tenor-1,Wildest Dreams,Falsetto_Group,falsetto_group,non_mix,0.877759,0.452759
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Control_Group#0003,EN-Tenor-1,Unconditionally,Control_Group,control_negative,non_mix,0.876879,0.451879
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Enchanted#Control_Group#0005,EN-Tenor-1,Enchanted,Control_Group,control_negative,non_mix,0.876459,0.451459
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0008,EN-Tenor-1,Take a Bow,Falsetto_Group,falsetto_group,non_mix,0.875761,0.450761
