tra_acc_list,val_acc_list,lr_list
32.32421875,28.90625,0.001
32.421875,28.90625,0.001
31.8359375,29.6875,0.001
35.3515625,31.25,0.001
37.59765625,37.5,0.001
42.96875,42.1875,0.001
47.36328125,47.65625,0.001
48.828125,48.4375,0.001
28.61328125,35.15625,0.001
48.53515625,49.21875,0.001
49.31640625,50.0,0.001
44.04296875,51.5625,0.001
55.17578125,58.59375,0.001
56.0546875,53.90625,0.001
59.86328125,55.46875,0.001
59.1796875,60.15625,0.001
64.94140625,63.28125,0.001
67.87109375,59.375,0.001
67.578125,60.9375,0.001
69.140625,68.75,0.001
74.70703125,71.09375,0.001
75.390625,74.21875,0.001
70.703125,70.3125,0.001
73.73046875,69.53125,0.001
80.2734375,78.90625,0.001
81.25,80.46875,0.001
84.08203125,82.8125,0.001
88.8671875,85.15625,0.001
83.10546875,72.65625,0.001
88.76953125,83.59375,0.001
88.96484375,78.90625,0.001
84.47265625,76.5625,0.001
94.82421875,85.9375,0.0001
94.921875,91.40625,0.0001
95.3125,86.71875,0.0001
95.8984375,91.40625,0.0001
95.41015625,85.15625,0.0001
96.19140625,87.5,0.0001
96.38671875,88.28125,1e-05
96.6796875,85.15625,1e-05
