tra_acc_list,val_acc_list,lr_list
18.5546875,15.625,0.001
31.8359375,24.21875,0.001
37.20703125,36.71875,0.001
32.03125,32.03125,0.001
33.88671875,28.90625,0.001
41.30859375,41.40625,0.001
32.12890625,30.46875,0.001
32.6171875,25.0,0.001
35.83984375,35.15625,0.001
49.12109375,41.40625,0.001
34.375,30.46875,0.001
47.8515625,47.65625,0.001
45.80078125,49.21875,0.001
49.90234375,55.46875,0.001
52.83203125,52.34375,0.001
49.8046875,53.125,0.001
57.421875,56.25,0.001
54.98046875,60.9375,0.001
57.8125,53.90625,0.001
50.09765625,50.78125,0.001
62.40234375,62.5,0.001
59.5703125,64.0625,0.001
66.11328125,66.40625,0.001
72.65625,68.75,0.001
75.29296875,72.65625,0.001
70.99609375,75.78125,0.001
74.609375,75.0,0.001
74.4140625,72.65625,0.001
70.8984375,69.53125,0.001
79.1015625,82.03125,0.001
80.859375,75.78125,0.001
70.80078125,71.875,0.001
81.640625,67.1875,0.001
84.9609375,75.78125,0.001
90.72265625,89.0625,0.0001
91.30859375,86.71875,0.0001
91.69921875,89.0625,0.0001
94.43359375,91.40625,0.0001
93.45703125,90.625,0.0001
95.21484375,91.40625,0.0001
