epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,head,0.712722,0.502604,0.689116,0.558594,0.001
2,head,0.671403,0.584635,0.668647,0.601562,0.001
3,head,0.623585,0.71224,0.58955,0.746094,0.001
4,head,0.57296,0.704427,0.566787,0.703125,0.001
5,finetune,0.703927,0.553385,0.677509,0.5,0.0002
6,finetune,0.557595,0.707031,0.432826,0.800781,0.0002
7,finetune,0.474302,0.796875,0.487242,0.828125,0.0002
8,finetune,0.397073,0.842448,0.375511,0.832031,0.0002
9,finetune,0.338005,0.859375,0.338099,0.867188,0.0002
10,finetune,0.320345,0.871094,0.329281,0.863281,0.0002
