epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,head,0.709517,0.484375,0.69149,0.503906,0.0008
2,head,0.678298,0.574219,0.673318,0.550781,0.00074641
3,head,0.650333,0.654948,0.645128,0.617188,0.0006
4,head,0.618107,0.71875,0.603071,0.714844,0.0004
5,head,0.604847,0.720052,0.584357,0.761719,0.0002
6,head,0.583283,0.75651,0.582604,0.75,5.359e-05
7,finetune,0.561303,0.733073,0.465586,0.828125,0.0001
8,finetune,0.426833,0.834635,0.374231,0.863281,9.83e-05
9,finetune,0.373311,0.856771,0.331659,0.878906,9.33e-05
10,finetune,0.335374,0.877604,0.322071,0.867188,8.536e-05
11,finetune,0.323104,0.864583,0.290163,0.90625,7.5e-05
12,finetune,0.292046,0.895833,0.26985,0.925781,6.294e-05
13,finetune,0.268439,0.897135,0.270526,0.90625,5e-05
14,finetune,0.255588,0.904948,0.268241,0.910156,3.706e-05
15,finetune,0.217094,0.919271,0.252544,0.925781,2.5e-05
16,finetune,0.218219,0.916667,0.229913,0.9375,1.464e-05
17,finetune,0.218188,0.927083,0.228103,0.9375,6.7e-06
18,finetune,0.202829,0.928385,0.230212,0.933594,1.7e-06
