epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,head,1.392864,0.321615,1.369233,0.355469,0.0015
2,head,1.325546,0.421875,1.292585,0.445312,0.00146329
3,head,1.254024,0.453125,1.199815,0.5,0.00135676
4,head,1.18597,0.496094,1.119959,0.554688,0.00119084
5,head,1.111386,0.557292,1.096362,0.578125,0.00098176
6,head,1.084313,0.541667,1.054393,0.589844,0.00075
7,head,1.062764,0.574219,1.028131,0.601562,0.00051824
8,head,1.028516,0.580729,1.057244,0.5625,0.00030916
9,head,1.031798,0.579427,1.027081,0.574219,0.00014324
10,head,1.026156,0.592448,1.025439,0.574219,3.671e-05
11,finetune,1.410631,0.41276,1.100987,0.613281,0.0003
12,finetune,1.113329,0.523438,1.032371,0.492188,0.00029624
13,finetune,0.904073,0.628906,0.843016,0.660156,0.00028515
14,finetune,0.888871,0.639323,0.804664,0.675781,0.00026727
15,finetune,0.732533,0.717448,0.632078,0.78125,0.00024352
16,finetune,0.735758,0.717448,0.765157,0.710938,0.00021508
17,finetune,0.635565,0.769531,0.534074,0.820312,0.00018338
18,finetune,0.558804,0.791667,0.515296,0.816406,0.00015
19,finetune,0.529436,0.820312,0.533513,0.847656,0.00011662
20,finetune,0.484113,0.838542,0.401257,0.878906,8.492e-05
21,finetune,0.459846,0.842448,0.40815,0.863281,5.648e-05
22,finetune,0.410952,0.877604,0.4023,0.882812,3.273e-05
23,finetune,0.400896,0.875,0.388986,0.878906,1.485e-05
24,finetune,0.406941,0.861979,0.389459,0.886719,3.76e-06
