wav_path,breath,anchor_ratio,anchor_time_sec,language,singer,song_name,song_key,ap_duration_sec
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0008.wav,0,0.06932,0.509,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0005.wav,0,0.046224,0.521,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Falsetto_Group\0003.wav,0,0.035013,0.535,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Falsetto_Group\0005.wav,0,0.047378,0.547,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0003.wav,0,0.036172,0.547,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0005.wav,0,0.047756,0.554,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0008.wav,0,0.065064,0.555,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0003.wav,0,0.037303,0.582,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0007.wav,0,0.084718,0.602,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Falsetto_Group\0008.wav,0,0.072533,0.61,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0006.wav,0,0.05124,0.62,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0007.wav,0,0.083869,0.627,Chinese,ZH-Alto-1,一次就好,Chinese/ZH-Alto-1/一次就好,0.0
