wav_path,breath,anchor_ratio,anchor_time_sec,language,singer,song_name,song_key,ap_duration_sec
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\好久不见\Control_Group\0005.wav,1,0.579095,5.762,Chinese,ZH-Alto-1,好久不见,Chinese/ZH-Alto-1/好久不见,1.694
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\年轮\Control_Group\0001.wav,0,0.506674,3.986,Chinese,ZH-Alto-1,年轮,Chinese/ZH-Alto-1/年轮,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\时间煮雨\Control_Group\0009.wav,1,0.49729,5.505,Chinese,ZH-Alto-1,时间煮雨,Chinese/ZH-Alto-1/时间煮雨,0.67
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\我真的受伤了\Vibrato_Group\0010.wav,1,0.47563,2.83,Chinese,ZH-Tenor-1,我真的受伤了,Chinese/ZH-Tenor-1/我真的受伤了,0.84
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\French\FR-Soprano-1\Mixed_Voice_and_Falsetto\comment deja\Mixed_Voice_Group\0002.wav,1,0.120199,1.667,French,FR-Soprano-1,comment deja,French/FR-Soprano-1/comment deja,0.494
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\平凡之路\Falsetto_Group\0000.wav,1,0.646834,5.925,Chinese,ZH-Alto-1,平凡之路,Chinese/ZH-Alto-1/平凡之路,0.43
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\终于等到你\Control_Group\0012.wav,1,0.499756,3.074,Chinese,ZH-Tenor-1,终于等到你,Chinese/ZH-Tenor-1/终于等到你,0.533
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\倒带\Mixed_Voice_Group\0010.wav,0,0.21871,1.695,Chinese,ZH-Tenor-1,倒带,Chinese/ZH-Tenor-1/倒带,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\爱的回归线\Control_Group\0008.wav,0,0.285714,2.02,Chinese,ZH-Tenor-1,爱的回归线,Chinese/ZH-Tenor-1/爱的回归线,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\讲真的\Mixed_Voice_Group\0015.wav,1,0.690079,7.025,Chinese,ZH-Tenor-1,讲真的,Chinese/ZH-Tenor-1/讲真的,0.33
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\老男孩\Pharyngeal_Group\0006.wav,0,0.150945,1.301,Chinese,ZH-Alto-1,老男孩,Chinese/ZH-Alto-1/老男孩,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0009.wav,1,0.634594,5.375,Chinese,ZH-Alto-1,可乐,Chinese/ZH-Alto-1/可乐,0.47
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Pharyngeal\情歌\Pharyngeal_Group\0015.wav,0,0.638118,5.175,Chinese,ZH-Tenor-1,情歌,Chinese/ZH-Tenor-1/情歌,0.0
d:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\时间煮雨\Falsetto_Group\0003.wav,0,0.177907,1.865,Chinese,ZH-Alto-1,时间煮雨,Chinese/ZH-Alto-1/时间煮雨,0.0
