item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0000.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0000.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0001.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0001.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0002.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0002.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0003.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0003.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0004.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0004.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0005.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0005.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0007.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0007.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0008.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0008.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0009.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0009.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,1,1,0,1,non_mix,001110,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0010.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0010.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#不再见#Breathy_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\不再见\Breathy_Group\0011.wav,Chinese/ZH-Alto-1/Breathy/不再见/Breathy_Group/0011.wav,Chinese,ZH-Alto-1,不再见,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0000.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0000.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0001.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0001.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0002.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0002.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0003.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0003.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0004.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0004.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0005.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0005.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0006.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0006.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0007.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0007.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0008.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0008.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#云烟成雨#Breathy_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\云烟成雨\Breathy_Group\0009.wav,Chinese/ZH-Alto-1/Breathy/云烟成雨/Breathy_Group/0009.wav,Chinese,ZH-Alto-1,云烟成雨,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0000.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0000.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0001.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0001.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0002.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0002.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0003.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0003.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,1,1,0,1,non_mix,001110,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0005.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0005.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0006.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0006.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0007.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0007.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0008.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0008.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0009.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0009.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,0,0,1,non_mix,001000,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0010.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0010.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#匆匆那年#Breathy_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\匆匆那年\Breathy_Group\0011.wav,Chinese/ZH-Alto-1/Breathy/匆匆那年/Breathy_Group/0011.wav,Chinese,ZH-Alto-1,匆匆那年,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0000.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0000.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0001.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0001.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0002.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0002.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0003.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0003.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0004.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0004.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0005.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0005.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0006.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0006.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0008.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0008.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0010.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0010.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0012,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0012.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0012.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#可乐#Breathy_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\可乐\Breathy_Group\0013.wav,Chinese/ZH-Alto-1/Breathy/可乐/Breathy_Group/0013.wav,Chinese,ZH-Alto-1,可乐,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0001.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0001.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,0,0,1,non_mix,001000,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0002.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0002.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0003.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0003.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0004.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0004.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0005.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0005.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
Chinese#ZH-Alto-1#Breathy#失落沙洲#Breathy_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Breathy\失落沙洲\Breathy_Group\0006.wav,Chinese/ZH-Alto-1/Breathy/失落沙洲/Breathy_Group/0006.wav,Chinese,ZH-Alto-1,失落沙洲,Breathy_Group,0,0,1,0,1,0,1,non_mix,001010,breathy_group,
