item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mix_prob,fp_margin,increment_selection_role,increment_rank,increment_pool_size,increment_reference_field,increment_reference_value
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\I Knew You Were Trouble\Falsetto_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/I Knew You Were Trouble/Falsetto_Group/0003.wav,English,EN-Tenor-1,I Knew You Were Trouble,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.995131,0.570131,hard_negative,1,96,mix_prob,0.995131
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Always Remember Us This Way\Falsetto_Group\0001.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Falsetto_Group/0001.wav,English,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.993445,0.568445,hard_negative,2,96,mix_prob,0.993445
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Unconditionally#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Unconditionally\Falsetto_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Unconditionally/Falsetto_Group/0003.wav,English,EN-Tenor-1,Unconditionally,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.99055,0.56555,hard_negative,3,96,mix_prob,0.99055
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Always Remember Us This Way\Falsetto_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Falsetto_Group/0003.wav,English,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.98599,0.56099,hard_negative,4,96,mix_prob,0.98599
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love on the Brain\Falsetto_Group\0010.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Falsetto_Group/0010.wav,English,EN-Tenor-1,Love on the Brain,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.982974,0.557974,hard_negative,5,96,mix_prob,0.982974
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Always Remember Us This Way\Falsetto_Group\0007.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Falsetto_Group/0007.wav,English,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.981698,0.556698,hard_negative,6,96,mix_prob,0.981698
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Take a Bow#Falsetto_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Take a Bow\Falsetto_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Falsetto_Group/0006.wav,English,EN-Tenor-1,Take a Bow,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.980686,0.555686,hard_negative,7,96,mix_prob,0.980686
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love on the Brain\Falsetto_Group\0008.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Falsetto_Group/0008.wav,English,EN-Tenor-1,Love on the Brain,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.979094,0.554094,hard_negative,8,96,mix_prob,0.979094
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Always Remember Us This Way#Falsetto_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Always Remember Us This Way\Falsetto_Group\0008.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Always Remember Us This Way/Falsetto_Group/0008.wav,English,EN-Tenor-1,Always Remember Us This Way,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.978126,0.553126,hard_negative,9,96,mix_prob,0.978126
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Look What You Make Me Do#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Look What You Make Me Do\Control_Group\0001.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Look What You Make Me Do/Control_Group/0001.wav,English,EN-Tenor-1,Look What You Make Me Do,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.977093,0.552093,hard_negative,10,96,mix_prob,0.977093
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love on the Brain#Falsetto_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love on the Brain\Falsetto_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Falsetto_Group/0006.wav,English,EN-Tenor-1,Love on the Brain,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.972831,0.547831,hard_negative,11,96,mix_prob,0.972831
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Cardigan\Falsetto_Group\0007.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Cardigan/Falsetto_Group/0007.wav,English,EN-Tenor-1,Cardigan,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.966362,0.541362,hard_negative,12,96,mix_prob,0.966362
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#I Knew You Were Trouble#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\I Knew You Were Trouble\Falsetto_Group\0004.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/I Knew You Were Trouble/Falsetto_Group/0004.wav,English,EN-Tenor-1,I Knew You Were Trouble,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.963894,0.538894,hard_negative,13,96,mix_prob,0.963894
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Call Out My Name#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Call Out My Name\Falsetto_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Call Out My Name/Falsetto_Group/0003.wav,English,EN-Tenor-1,Call Out My Name,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.9635,0.5385,hard_negative,14,96,mix_prob,0.9635
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love Story\Control_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Control_Group/0002.wav,English,EN-Tenor-1,Love Story,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.96008,0.53508,hard_negative,15,96,mix_prob,0.96008
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Exile\Control_Group\0004.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Exile/Control_Group/0004.wav,English,EN-Tenor-1,Exile,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.959348,0.534348,hard_negative,16,96,mix_prob,0.959348
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love Story\Control_Group\0006.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Control_Group/0006.wav,English,EN-Tenor-1,Love Story,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.957304,0.532304,hard_negative,17,96,mix_prob,0.957304
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Exile#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Exile\Control_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Exile/Control_Group/0003.wav,English,EN-Tenor-1,Exile,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.952789,0.527789,hard_negative,18,96,mix_prob,0.952789
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Young and Beautiful#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Young and Beautiful\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Young and Beautiful/Falsetto_Group/0002.wav,English,EN-Tenor-1,Young and Beautiful,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.938694,0.513694,hard_negative,19,96,mix_prob,0.938694
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\You Belong With Me\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Falsetto_Group/0002.wav,English,EN-Tenor-1,You Belong With Me,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.936876,0.511876,hard_negative,20,96,mix_prob,0.936876
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\August\Falsetto_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/August/Falsetto_Group/0002.wav,English,EN-Tenor-1,August,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.933973,0.508973,hard_negative,21,96,mix_prob,0.933973
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Cardigan\Falsetto_Group\0008.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Cardigan/Falsetto_Group/0008.wav,English,EN-Tenor-1,Cardigan,Falsetto_Group,0,1,0,0,0,0,1,non_mix,010000,falsetto_group,0.933504,0.508504,hard_negative,22,96,mix_prob,0.933504
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Blank Space#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Blank Space\Control_Group\0002.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Blank Space/Control_Group/0002.wav,English,EN-Tenor-1,Blank Space,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.931192,0.506192,hard_negative,23,96,mix_prob,0.931192
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#August#Falsetto_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\August\Falsetto_Group\0005.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/August/Falsetto_Group/0005.wav,English,EN-Tenor-1,August,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.931141,0.506141,hard_negative,24,96,mix_prob,0.931141
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Love Story#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Love Story\Control_Group\0000.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Control_Group/0000.wav,English,EN-Tenor-1,Love Story,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.929867,0.504867,hard_negative,25,96,mix_prob,0.929867
English#EN-Tenor-1#Mixed_Voice_and_Falsetto#Cardigan#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Tenor-1\Mixed_Voice_and_Falsetto\Cardigan\Falsetto_Group\0003.wav,English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Cardigan/Falsetto_Group/0003.wav,English,EN-Tenor-1,Cardigan,Falsetto_Group,0,1,0,0,1,0,1,non_mix,010010,falsetto_group,0.928413,0.503413,hard_negative,26,96,mix_prob,0.928413
