item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mix_prob,threshold_gap,increment_selection_role,increment_rank,increment_pool_size,increment_reference_field,increment_reference_value
English#EN-Alto-2#Pharyngeal#What Are Words#Pharyngeal_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\What Are Words\Pharyngeal_Group\0000.wav,English/EN-Alto-2/Pharyngeal/What Are Words/Pharyngeal_Group/0000.wav,English,EN-Alto-2,What Are Words,Pharyngeal_Group,1,0,0,0,1,1,1,clear_mix,100011,positive_mix,0.001889,0.423111,hard_positive,1,96,mix_prob,0.001889
English#EN-Alto-2#Breathy#Love Me Like You Do#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Love Me Like You Do\Control_Group\0002.wav,English/EN-Alto-2/Breathy/Love Me Like You Do/Control_Group/0002.wav,English,EN-Alto-2,Love Me Like You Do,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.002981,0.422019,hard_positive,2,96,mix_prob,0.002981
English#EN-Alto-2#Glissando#Love Me Like You Do#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Love Me Like You Do\Control_Group\0002.wav,English/EN-Alto-2/Glissando/Love Me Like You Do/Control_Group/0002.wav,English,EN-Alto-2,Love Me Like You Do,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.002981,0.422019,hard_positive,3,96,mix_prob,0.002981
English#EN-Alto-2#Vibrato#Love Me Like You Do#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\Love Me Like You Do\Control_Group\0002.wav,English/EN-Alto-2/Vibrato/Love Me Like You Do/Control_Group/0002.wav,English,EN-Alto-2,Love Me Like You Do,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.002981,0.422019,hard_positive,4,96,mix_prob,0.002981
English#EN-Alto-2#Breathy#My Love#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\My Love\Control_Group\0006.wav,English/EN-Alto-2/Breathy/My Love/Control_Group/0006.wav,English,EN-Alto-2,My Love,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.003431,0.421569,hard_positive,5,96,mix_prob,0.003431
English#EN-Alto-2#Pharyngeal#My Love#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\My Love\Control_Group\0006.wav,English/EN-Alto-2/Pharyngeal/My Love/Control_Group/0006.wav,English,EN-Alto-2,My Love,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.003431,0.421569,hard_positive,6,96,mix_prob,0.003431
English#EN-Alto-2#Breathy#Love Story#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Love Story\Control_Group\0003.wav,English/EN-Alto-2/Breathy/Love Story/Control_Group/0003.wav,English,EN-Alto-2,Love Story,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.004057,0.420943,hard_positive,7,96,mix_prob,0.004057
English#EN-Alto-2#Glissando#Love Story#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Love Story\Control_Group\0004.wav,English/EN-Alto-2/Glissando/Love Story/Control_Group/0004.wav,English,EN-Alto-2,Love Story,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.004057,0.420943,hard_positive,8,96,mix_prob,0.004057
English#EN-Alto-2#Vibrato#Love Story#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\Love Story\Control_Group\0004.wav,English/EN-Alto-2/Vibrato/Love Story/Control_Group/0004.wav,English,EN-Alto-2,Love Story,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.004057,0.420943,hard_positive,9,96,mix_prob,0.004057
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Mixed_Voice_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Call Me Maybe\Mixed_Voice_Group\0003.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Call Me Maybe/Mixed_Voice_Group/0003.wav,English,EN-Alto-2,Call Me Maybe,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.004663,0.420337,hard_positive,10,96,mix_prob,0.004663
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Mixed_Voice_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\God is A Girl\Mixed_Voice_Group\0002.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/God is A Girl/Mixed_Voice_Group/0002.wav,English,EN-Alto-2,God is A Girl,Mixed_Voice_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.006127,0.418873,hard_positive,11,96,mix_prob,0.006127
English#EN-Alto-2#Breathy#Love Me Like You Do#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Love Me Like You Do\Control_Group\0006.wav,English/EN-Alto-2/Breathy/Love Me Like You Do/Control_Group/0006.wav,English,EN-Alto-2,Love Me Like You Do,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.006526,0.418474,hard_positive,12,96,mix_prob,0.006526
English#EN-Alto-2#Glissando#My Heart Will Go On#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\My Heart Will Go On\Control_Group\0002.wav,English/EN-Alto-2/Glissando/My Heart Will Go On/Control_Group/0002.wav,English,EN-Alto-2,My Heart Will Go On,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.00712,0.41788,hard_positive,13,96,mix_prob,0.00712
English#EN-Alto-2#Breathy#My Heart Will Go On#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\My Heart Will Go On\Control_Group\0008.wav,English/EN-Alto-2/Breathy/My Heart Will Go On/Control_Group/0008.wav,English,EN-Alto-2,My Heart Will Go On,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.008134,0.416866,hard_positive,14,96,mix_prob,0.008134
English#EN-Alto-2#Glissando#My Heart Will Go On#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\My Heart Will Go On\Control_Group\0008.wav,English/EN-Alto-2/Glissando/My Heart Will Go On/Control_Group/0008.wav,English,EN-Alto-2,My Heart Will Go On,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.008134,0.416866,hard_positive,15,96,mix_prob,0.008134
English#EN-Alto-2#Vibrato#My Heart Will Go On#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\My Heart Will Go On\Control_Group\0008.wav,English/EN-Alto-2/Vibrato/My Heart Will Go On/Control_Group/0008.wav,English,EN-Alto-2,My Heart Will Go On,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.008134,0.416866,hard_positive,16,96,mix_prob,0.008134
English#EN-Alto-2#Breathy#Easy On Me#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\Easy On Me\Control_Group\0003.wav,English/EN-Alto-2/Breathy/Easy On Me/Control_Group/0003.wav,English,EN-Alto-2,Easy On Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.010443,0.414557,hard_positive,17,96,mix_prob,0.010443
English#EN-Alto-2#Glissando#Easy On Me#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\Easy On Me\Control_Group\0003.wav,English/EN-Alto-2/Glissando/Easy On Me/Control_Group/0003.wav,English,EN-Alto-2,Easy On Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.010443,0.414557,hard_positive,18,96,mix_prob,0.010443
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Mixed_Voice_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Easy On Me\Mixed_Voice_Group\0003.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Easy On Me/Mixed_Voice_Group/0003.wav,English,EN-Alto-2,Easy On Me,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.010443,0.414557,hard_positive,19,96,mix_prob,0.010443
English#EN-Alto-2#Pharyngeal#Easy On Me#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\Easy On Me\Control_Group\0003.wav,English/EN-Alto-2/Pharyngeal/Easy On Me/Control_Group/0003.wav,English,EN-Alto-2,Easy On Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.010443,0.414557,hard_positive,20,96,mix_prob,0.010443
English#EN-Alto-2#Vibrato#All of Me#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\All of Me\Control_Group\0005.wav,English/EN-Alto-2/Vibrato/All of Me/Control_Group/0005.wav,English,EN-Alto-2,All of Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.011326,0.413674,hard_positive,21,96,mix_prob,0.011326
English#EN-Alto-2#Pharyngeal#What Are Words#Pharyngeal_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\What Are Words\Pharyngeal_Group\0001.wav,English/EN-Alto-2/Pharyngeal/What Are Words/Pharyngeal_Group/0001.wav,English,EN-Alto-2,What Are Words,Pharyngeal_Group,1,0,0,0,1,1,1,clear_mix,100011,positive_mix,0.01195,0.41305,hard_positive,22,96,mix_prob,0.01195
English#EN-Alto-2#Breathy#All of Me#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Breathy\All of Me\Control_Group\0006.wav,English/EN-Alto-2/Breathy/All of Me/Control_Group/0006.wav,English,EN-Alto-2,All of Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014528,0.410472,hard_positive,23,96,mix_prob,0.014528
English#EN-Alto-2#Glissando#All of Me#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\All of Me\Control_Group\0006.wav,English/EN-Alto-2/Glissando/All of Me/Control_Group/0006.wav,English,EN-Alto-2,All of Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014528,0.410472,hard_positive,24,96,mix_prob,0.014528
English#EN-Alto-2#Pharyngeal#All of Me#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\All of Me\Control_Group\0006.wav,English/EN-Alto-2/Pharyngeal/All of Me/Control_Group/0006.wav,English,EN-Alto-2,All of Me,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014528,0.410472,hard_positive,25,96,mix_prob,0.014528
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Mixed_Voice_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\YOUTH\Mixed_Voice_Group\0000.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/YOUTH/Mixed_Voice_Group/0000.wav,English,EN-Alto-2,YOUTH,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014658,0.410342,hard_positive,26,96,mix_prob,0.014658
English#EN-Alto-2#Glissando#A Thousand Years#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\A Thousand Years\Control_Group\0006.wav,English/EN-Alto-2/Glissando/A Thousand Years/Control_Group/0006.wav,English,EN-Alto-2,A Thousand Years,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014804,0.410196,hard_positive,27,96,mix_prob,0.014804
English#EN-Alto-2#Vibrato#A Thousand Years#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\A Thousand Years\Control_Group\0006.wav,English/EN-Alto-2/Vibrato/A Thousand Years/Control_Group/0006.wav,English,EN-Alto-2,A Thousand Years,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.014804,0.410196,hard_positive,28,96,mix_prob,0.014804
English#EN-Alto-2#Pharyngeal#A Thousand Years#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\A Thousand Years\Control_Group\0001.wav,English/EN-Alto-2/Pharyngeal/A Thousand Years/Control_Group/0001.wav,English,EN-Alto-2,A Thousand Years,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.015507,0.409493,hard_positive,29,96,mix_prob,0.015507
English#EN-Alto-2#Glissando#My Love#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Glissando\My Love\Control_Group\0005.wav,English/EN-Alto-2/Glissando/My Love/Control_Group/0005.wav,English,EN-Alto-2,My Love,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.01637,0.40863,hard_positive,30,96,mix_prob,0.01637
English#EN-Alto-2#Pharyngeal#Love Story#Pharyngeal_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Pharyngeal\Love Story\Pharyngeal_Group\0003.wav,English/EN-Alto-2/Pharyngeal/Love Story/Pharyngeal_Group/0003.wav,English,EN-Alto-2,Love Story,Pharyngeal_Group,1,0,0,1,1,1,1,clear_mix,100111,positive_mix,0.016618,0.408382,hard_positive,31,96,mix_prob,0.016618
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let Her Go#Mixed_Voice_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Mixed_Voice_and_Falsetto\Let Her Go\Mixed_Voice_Group\0003.wav,English/EN-Alto-2/Mixed_Voice_and_Falsetto/Let Her Go/Mixed_Voice_Group/0003.wav,English,EN-Alto-2,Let Her Go,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.016877,0.408123,hard_positive,32,96,mix_prob,0.016877
English#EN-Alto-2#Vibrato#My Love#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\English\EN-Alto-2\Vibrato\My Love\Control_Group\0006.wav,English/EN-Alto-2/Vibrato/My Love/Control_Group/0006.wav,English,EN-Alto-2,My Love,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.01767,0.40733,hard_positive,33,96,mix_prob,0.01767
