item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device,mined_selection_role,mined_rank,mined_pool_size
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#不能说的秘密#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\不能说的秘密\Falsetto_Group\0004.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/不能说的秘密/Falsetto_Group/0004.wav,Chinese,ZH-Tenor-1,不能说的秘密,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.061777,cuda,hard_positive,1,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#年轮#Falsetto_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\年轮\Falsetto_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/年轮/Falsetto_Group/0000.wav,Chinese,ZH-Alto-1,年轮,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.080902,cuda,hard_positive,2,24
Chinese#ZH-Alto-1#Glissando#彩虹#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\彩虹\Control_Group\0010.wav,Chinese/ZH-Alto-1/Glissando/彩虹/Control_Group/0010.wav,Chinese,ZH-Alto-1,彩虹,Control_Group,1,0,0,0,0,0,1,clear_mix,100000,positive_mix,0.084581,cuda,hard_positive,3,24
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#青花瓷#Falsetto_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\青花瓷\Falsetto_Group\0003.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/青花瓷/Falsetto_Group/0003.wav,Chinese,ZH-Tenor-1,青花瓷,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.096672,cuda,hard_positive,4,24
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#讲真的#Falsetto_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\讲真的\Falsetto_Group\0004.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/讲真的/Falsetto_Group/0004.wav,Chinese,ZH-Tenor-1,讲真的,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.102129,cuda,hard_positive,5,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#别找我麻烦#Mixed_Voice_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\别找我麻烦\Mixed_Voice_Group\0005.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/别找我麻烦/Mixed_Voice_Group/0005.wav,Chinese,ZH-Alto-1,别找我麻烦,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.116683,cuda,hard_positive,6,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#匆匆那年#Mixed_Voice_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Mixed_Voice_Group\0017.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/匆匆那年/Mixed_Voice_Group/0017.wav,Chinese,ZH-Alto-1,匆匆那年,Mixed_Voice_Group,1,1,0,1,1,0,1,head_mix,110110,positive_mix,0.125028,cuda,hard_positive,7,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可惜没如果#Mixed_Voice_Group#0024,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可惜没如果\Mixed_Voice_Group\0024.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可惜没如果/Mixed_Voice_Group/0024.wav,Chinese,ZH-Alto-1,可惜没如果,Mixed_Voice_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.125412,cuda,hard_positive,8,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#鸽子#Falsetto_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\鸽子\Falsetto_Group\0001.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/鸽子/Falsetto_Group/0001.wav,Chinese,ZH-Alto-1,鸽子,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.133299,cuda,hard_positive,9,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#匆匆那年#Falsetto_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\匆匆那年\Falsetto_Group\0010.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/匆匆那年/Falsetto_Group/0010.wav,Chinese,ZH-Alto-1,匆匆那年,Falsetto_Group,1,1,1,0,0,0,1,breathy_mix,111000,positive_mix,0.134585,cuda,hard_positive,10,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#知足#Falsetto_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\知足\Falsetto_Group\0011.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/知足/Falsetto_Group/0011.wav,Chinese,ZH-Alto-1,知足,Falsetto_Group,1,1,0,0,1,0,1,head_mix,110010,positive_mix,0.154227,cuda,hard_positive,11,24
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可惜没如果#Falsetto_Group#0026,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可惜没如果\Falsetto_Group\0026.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可惜没如果/Falsetto_Group/0026.wav,Chinese,ZH-Alto-1,可惜没如果,Falsetto_Group,1,1,1,0,1,0,1,breathy_mix,111010,positive_mix,0.154999,cuda,hard_positive,12,24
