item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role
Chinese#ZH-Alto-1#Pharyngeal#默#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\默\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/默/Control_Group/0001.wav,Chinese,ZH-Alto-1,默,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix
Chinese#ZH-Alto-1#Pharyngeal#默#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\默\Control_Group\0003.wav,Chinese/ZH-Alto-1/Pharyngeal/默/Control_Group/0003.wav,Chinese,ZH-Alto-1,默,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix
Chinese#ZH-Alto-1#Pharyngeal#崇拜#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\崇拜\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/崇拜/Control_Group/0000.wav,Chinese,ZH-Alto-1,崇拜,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix
Chinese#ZH-Alto-1#Pharyngeal#听海#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\听海\Control_Group\0002.wav,Chinese/ZH-Alto-1/Pharyngeal/听海/Control_Group/0002.wav,Chinese,ZH-Alto-1,听海,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0008.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0008.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,1,0,1,1,0,1,non_mix,010110,control_negative
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0010.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0010.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,1,0,1,1,0,1,non_mix,010110,control_negative
Chinese#ZH-Alto-1#Pharyngeal#小半#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\小半\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/小半/Control_Group/0004.wav,Chinese,ZH-Alto-1,小半,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
Chinese#ZH-Alto-1#Pharyngeal#小半#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\小半\Control_Group\0008.wav,Chinese/ZH-Alto-1/Pharyngeal/小半/Control_Group/0008.wav,Chinese,ZH-Alto-1,小半,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
Chinese#ZH-Alto-1#Pharyngeal#你就不要想起我#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\你就不要想起我\Control_Group\0008.wav,Chinese/ZH-Alto-1/Pharyngeal/你就不要想起我/Control_Group/0008.wav,Chinese,ZH-Alto-1,你就不要想起我,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
Chinese#ZH-Alto-1#Pharyngeal#小半#Control_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\小半\Control_Group\0007.wav,Chinese/ZH-Alto-1/Pharyngeal/小半/Control_Group/0007.wav,Chinese,ZH-Alto-1,小半,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
Chinese#ZH-Alto-1#Pharyngeal#失落沙洲#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\失落沙洲\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/失落沙洲/Control_Group/0004.wav,Chinese,ZH-Alto-1,失落沙洲,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative
