item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Control_Group/0000.wav,Chinese,ZH-Alto-1,一次就好,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.105421,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0002.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Control_Group/0002.wav,Chinese,ZH-Alto-1,一次就好,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.054967,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0003.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Control_Group/0003.wav,Chinese,ZH-Alto-1,一次就好,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.246425,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0005.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Control_Group/0005.wav,Chinese,ZH-Alto-1,一次就好,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.219405,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Control_Group#0008,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Control_Group\0008.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Control_Group/0008.wav,Chinese,ZH-Alto-1,一次就好,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.196252,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#三寸天堂#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/三寸天堂/Control_Group/0000.wav,Chinese,ZH-Alto-1,三寸天堂,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.111820,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#三寸天堂#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0001.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/三寸天堂/Control_Group/0001.wav,Chinese,ZH-Alto-1,三寸天堂,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.420417,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#三寸天堂#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0002.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/三寸天堂/Control_Group/0002.wav,Chinese,ZH-Alto-1,三寸天堂,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.149618,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#三寸天堂#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0003.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/三寸天堂/Control_Group/0003.wav,Chinese,ZH-Alto-1,三寸天堂,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.049088,cpu
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#三寸天堂#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\三寸天堂\Control_Group\0004.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/三寸天堂/Control_Group/0004.wav,Chinese,ZH-Alto-1,三寸天堂,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.058795,cpu
