item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0000.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.444760,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0001.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.555836,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0002.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0002.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.789427,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0003.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0003.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.547069,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0004.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.693521,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0005.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0005.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.464340,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0007.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0007.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.253039,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0009.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0009.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.637503,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0010.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0010.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.834270,cpu
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0011.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0011.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.643970,cpu
