item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob,mined_device,mined_mix_margin,family_best_voice_mix_margin,family_runtime_margin,family_runtime_pitch_hz,family_runtime_head_bias,family_runtime_mix_support,family_runtime_learned_mix_support,family_runtime_mix_event_count,family_primary_blocker,family_blockers,family_branch,family_candidate_subtype,family_candidate_subtype_conf,family_best_voice_event_type,family_released_flags,family_flag_pure_learned_head_mix,family_flag_marginal_head_mix,family_flag_released_high_pitch_head_mix,family_flag_released_near_threshold_high_pitch_head_mix,family_flag_released_ultra_high_pitch_head_mix,family_flag_released_low_energy_midhigh_head_mix,family_bucket
Chinese#ZH-Alto-1#Glissando#彩虹#Glissando_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Glissando\彩虹\Glissando_Group\0010.wav,Chinese/ZH-Alto-1/Glissando/彩虹/Glissando_Group/0010.wav,Chinese,ZH-Alto-1,彩虹,Glissando_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.482508,cpu,0.007508,0.002843,0.002843,512.837280,1.000000,0.198889,0.292483,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.754671,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Pharyngeal#亲爱的那不是爱情#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\亲爱的那不是爱情\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/亲爱的那不是爱情/Control_Group/0001.wav,Chinese,ZH-Alto-1,亲爱的那不是爱情,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.470277,cpu,-0.004723,0.006428,0.006428,541.763977,1.000000,0.204693,0.301019,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.758468,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#桃花诺#Mixed_Voice_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\桃花诺\Mixed_Voice_Group\0000.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/桃花诺/Mixed_Voice_Group/0000.wav,Chinese,ZH-Alto-1,桃花诺,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.477522,cpu,0.002522,0.014584,0.014584,445.594482,1.000000,0.217898,0.320438,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.760202,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#我的歌声里#Mixed_Voice_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\我的歌声里\Mixed_Voice_Group\0006.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/我的歌声里/Mixed_Voice_Group/0006.wav,Chinese,ZH-Alto-1,我的歌声里,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.478888,cpu,0.003888,0.017076,0.017076,433.062866,1.000000,0.221933,0.326371,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.753791,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#一次就好#Mixed_Voice_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\一次就好\Mixed_Voice_Group\0007.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/一次就好/Mixed_Voice_Group/0007.wav,Chinese,ZH-Alto-1,一次就好,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.459119,cpu,-0.015881,0.019664,0.019664,430.467041,1.000000,0.226123,0.332533,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.749850,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#演员#Mixed_Voice_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\演员\Mixed_Voice_Group\0010.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/演员/Mixed_Voice_Group/0010.wav,Chinese,ZH-Alto-1,演员,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.465882,cpu,-0.009118,0.023453,0.023453,434.245728,1.000000,0.232257,0.341555,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.764803,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#化身孤岛的鲸#Mixed_Voice_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\化身孤岛的鲸\Mixed_Voice_Group\0015.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/化身孤岛的鲸/Mixed_Voice_Group/0015.wav,Chinese,ZH-Alto-1,化身孤岛的鲸,Mixed_Voice_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,0.466476,cpu,-0.008524,0.027170,0.027170,463.177887,1.000000,0.238275,0.350405,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.772759,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,positive_marginal
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#崇拜#Control_Group#0006,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\崇拜\Control_Group\0006.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/崇拜/Control_Group/0006.wav,Chinese,ZH-Tenor-1,崇拜,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.489903,cpu,0.014903,0.120394,0.120394,338.252106,1.000000,0.389209,0.572367,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch,reject_pure_head_low_pitch,weak_mix,0.769254,falsetto,pure_learned_head_mix,1,0,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#崇拜#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\崇拜\Control_Group\0004.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/崇拜/Control_Group/0004.wav,Chinese,ZH-Tenor-1,崇拜,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.463901,cpu,-0.011099,0.101826,0.101826,366.499573,1.000000,0.359147,0.528157,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch,reject_pure_head_low_pitch,weak_mix,0.768663,falsetto,pure_learned_head_mix,1,0,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#老男孩#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\老男孩\Control_Group\0002.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/老男孩/Control_Group/0002.wav,Chinese,ZH-Alto-1,老男孩,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.531414,cpu,0.056414,0.076343,0.076343,368.479614,1.000000,0.317889,0.467483,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch,reject_pure_head_low_pitch,weak_mix,0.752881,falsetto,pure_learned_head_mix,1,0,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Breathy#给电影人的情书#Control_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\给电影人的情书\Control_Group\0013.wav,Chinese/ZH-Tenor-1/Breathy/给电影人的情书/Control_Group/0013.wav,Chinese,ZH-Tenor-1,给电影人的情书,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.580795,cpu,0.105795,0.062376,0.062376,293.778992,1.000000,0.295275,0.434229,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch,reject_pure_head_low_pitch,weak_mix,0.682990,falsetto,pure_learned_head_mix,1,0,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Vibrato#如果爱忘了#Control_Group#0013,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Vibrato\如果爱忘了\Control_Group\0013.wav,Chinese/ZH-Tenor-1/Vibrato/如果爱忘了/Control_Group/0013.wav,Chinese,ZH-Tenor-1,如果爱忘了,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.739431,cpu,0.264431,0.046460,0.046460,390.223450,1.000000,0.269507,0.396333,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch|reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.747315,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Breathy#化身孤岛的鲸#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\化身孤岛的鲸\Control_Group\0005.wav,Chinese/ZH-Tenor-1/Breathy/化身孤岛的鲸/Control_Group/0005.wav,Chinese,ZH-Tenor-1,化身孤岛的鲸,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.616123,cpu,0.141123,0.031912,0.031912,418.217377,1.000000,0.245953,0.361695,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch|reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.754676,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#南山南#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\南山南\Control_Group\0001.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/南山南/Control_Group/0001.wav,Chinese,ZH-Alto-1,南山南,Control_Group,0,0,0,1,1,0,1,non_mix,000110,control_negative,0.505355,cpu,0.030355,0.025064,0.025064,335.801788,1.000000,0.234866,0.345390,0,reject_pure_head_low_pitch,reject_pure_head_low_pitch|reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.685334,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Breathy#会呼吸的痛#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Breathy\会呼吸的痛\Control_Group\0005.wav,Chinese/ZH-Tenor-1/Breathy/会呼吸的痛/Control_Group/0005.wav,Chinese,ZH-Tenor-1,会呼吸的痛,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.789044,cpu,0.314044,0.046646,0.046646,463.931183,1.000000,0.269808,0.396776,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.788039,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Glissando#彩虹#Control_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Glissando\彩虹\Control_Group\0015.wav,Chinese/ZH-Tenor-1/Glissando/彩虹/Control_Group/0015.wav,Chinese,ZH-Tenor-1,彩虹,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.485693,cpu,0.010693,0.044009,0.044009,521.705566,1.000000,0.265538,0.390498,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.782866,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0025,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0025.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0025.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.621820,cpu,0.146820,0.042137,0.042137,510.425018,1.000000,0.262508,0.386040,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.788366,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Tenor-1#Mixed_Voice_and_Falsetto#过火#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Tenor-1\Mixed_Voice_and_Falsetto\过火\Control_Group\0009.wav,Chinese/ZH-Tenor-1/Mixed_Voice_and_Falsetto/过火/Control_Group/0009.wav,Chinese,ZH-Tenor-1,过火,Control_Group,0,1,0,0,1,0,1,non_mix,010010,control_negative,0.491434,cpu,0.016434,0.037933,0.037933,443.256836,1.000000,0.255701,0.376031,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.779451,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Mixed_Voice_and_Falsetto#可乐#Control_Group#0015,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Mixed_Voice_and_Falsetto\可乐\Control_Group\0015.wav,Chinese/ZH-Alto-1/Mixed_Voice_and_Falsetto/可乐/Control_Group/0015.wav,Chinese,ZH-Alto-1,可乐,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.753902,cpu,0.278902,0.037859,0.037859,440.458801,1.000000,0.255581,0.375855,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.781527,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Pharyngeal#我好想你#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\我好想你\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/我好想你/Control_Group/0004.wav,Chinese,ZH-Alto-1,我好想你,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.658445,cpu,0.183445,0.027376,0.027376,465.522858,1.000000,0.238609,0.350895,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.773549,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Vibrato#不再见#Control_Group#0017,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\不再见\Control_Group\0017.wav,Chinese/ZH-Alto-1/Vibrato/不再见/Control_Group/0017.wav,Chinese,ZH-Alto-1,不再见,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.543826,cpu,0.068826,0.027024,0.027024,499.152954,1.000000,0.238039,0.350057,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.772917,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Vibrato#多远都要在一起#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Vibrato\多远都要在一起\Control_Group\0002.wav,Chinese/ZH-Alto-1/Vibrato/多远都要在一起/Control_Group/0002.wav,Chinese,ZH-Alto-1,多远都要在一起,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.541744,cpu,0.066744,0.014225,0.014225,520.923218,1.000000,0.217317,0.319583,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.758591,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
Chinese#ZH-Alto-1#Pharyngeal#大鱼#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\大鱼\Control_Group\0010.wav,Chinese/ZH-Alto-1/Pharyngeal/大鱼/Control_Group/0010.wav,Chinese,ZH-Alto-1,大鱼,Control_Group,0,0,0,0,1,0,1,non_mix,000010,control_negative,0.662594,cpu,0.187594,0.012014,0.012014,503.890778,1.000000,0.213737,0.314319,0,reject_marginal_head_not_released,reject_marginal_head_not_released,reject_marginal_head_not_released,weak_mix,0.759146,falsetto,marginal_head_mix|pure_learned_head_mix,1,1,0,0,0,0,control_pure_head_guard
