item_name,wav_path,wav_fn,language,singer,song_name,group_name,mix,falsetto,breathy,vibrato,glissando,pharyngeal,any_tech,mix_variant,label_signature,binary_role,mined_mix_prob
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0000.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0001.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0002.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0002.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0003.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0003.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0004,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0004.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0004.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0005,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0005.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0005.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0007,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0007.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0007.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0009,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0009.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0009.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0010,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0010.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0010.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#不为谁而作的歌#Control_Group#0011,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\不为谁而作的歌\Control_Group\0011.wav,Chinese/ZH-Alto-1/Pharyngeal/不为谁而作的歌/Control_Group/0011.wav,Chinese,ZH-Alto-1,不为谁而作的歌,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#亲爱的那不是爱情#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\亲爱的那不是爱情\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/亲爱的那不是爱情/Control_Group/0000.wav,Chinese,ZH-Alto-1,亲爱的那不是爱情,Control_Group,1,0,0,0,1,1,1,clear_mix,100011,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#亲爱的那不是爱情#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\亲爱的那不是爱情\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/亲爱的那不是爱情/Control_Group/0001.wav,Chinese,ZH-Alto-1,亲爱的那不是爱情,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#亲爱的那不是爱情#Control_Group#0002,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\亲爱的那不是爱情\Control_Group\0002.wav,Chinese/ZH-Alto-1/Pharyngeal/亲爱的那不是爱情/Control_Group/0002.wav,Chinese,ZH-Alto-1,亲爱的那不是爱情,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#亲爱的那不是爱情#Control_Group#0003,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\亲爱的那不是爱情\Control_Group\0003.wav,Chinese/ZH-Alto-1/Pharyngeal/亲爱的那不是爱情/Control_Group/0003.wav,Chinese,ZH-Alto-1,亲爱的那不是爱情,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#人质#Control_Group#0000,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\人质\Control_Group\0000.wav,Chinese/ZH-Alto-1/Pharyngeal/人质/Control_Group/0000.wav,Chinese,ZH-Alto-1,人质,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
Chinese#ZH-Alto-1#Pharyngeal#人质#Control_Group#0001,D:\-MindEcho-main\ml_dl_models\gtsinger_multitech\dataset\raw\Chinese\ZH-Alto-1\Pharyngeal\人质\Control_Group\0001.wav,Chinese/ZH-Alto-1/Pharyngeal/人质/Control_Group/0001.wav,Chinese,ZH-Alto-1,人质,Control_Group,1,0,0,0,1,0,1,clear_mix,100010,positive_mix,
