epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,head,0.673412,0.626392,0.629534,0.635171,0.001
2,head,0.639067,0.642764,0.617253,0.653543,0.00093301
3,head,0.624564,0.6611,0.615755,0.661417,0.00075
4,head,0.618101,0.669614,0.610049,0.666667,0.0005
5,head,0.625028,0.656189,0.60952,0.671916,0.00025
6,head,0.616976,0.667976,0.609789,0.671916,6.699e-05
7,finetune,0.671706,0.622462,0.654983,0.627297,0.0002
8,finetune,0.648915,0.638507,0.634772,0.629921,0.00019239
9,finetune,0.6275,0.641126,0.710484,0.629921,0.00017071
10,finetune,0.63737,0.64833,0.622912,0.629921,0.00013827
11,finetune,0.615761,0.653569,0.612023,0.629921,0.0001
12,finetune,0.610032,0.672888,0.616343,0.637795,6.173e-05
13,finetune,0.593513,0.692534,0.600947,0.664042,2.929e-05
14,finetune,0.587789,0.698428,0.607481,0.664042,7.61e-06
