epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_threshold,lr
1,head,0.67423,0.629993,0.632481,0.622047,0.629787,0.615152,0.563636,0.492063,0.659574,0.4,0.001
2,head,0.636386,0.654879,0.634572,0.635171,0.641667,0.627692,0.574924,0.505376,0.666667,0.45,0.00093301
3,head,0.631931,0.65095,0.620023,0.645669,0.644149,0.634708,0.571429,0.517241,0.638298,0.425,0.00075
4,head,0.626692,0.656189,0.613304,0.669291,0.651197,0.649284,0.565517,0.550336,0.58156,0.4,0.0005
5,head,0.622921,0.657498,0.615185,0.669291,0.646809,0.64637,0.556338,0.552448,0.560284,0.45,0.00025
6,head,0.616011,0.67649,0.613454,0.674541,0.652438,0.651983,0.56338,0.559441,0.567376,0.45,6.699e-05
7,finetune,0.656959,0.625409,0.670256,0.587927,0.608555,0.585356,0.552707,0.461905,0.687943,0.475,0.0002
8,finetune,0.646251,0.631631,0.629926,0.664042,0.645567,0.643717,0.558621,0.543624,0.574468,0.35,0.00019239
9,finetune,0.627004,0.637852,0.604894,0.671916,0.676684,0.663573,0.610592,0.544444,0.695035,0.35,0.00017071
10,finetune,0.633355,0.643746,0.622646,0.608924,0.636924,0.607616,0.584958,0.481651,0.744681,0.275,0.00013827
11,finetune,0.60884,0.679437,0.573925,0.687664,0.689184,0.678001,0.622222,0.563218,0.695035,0.4,0.0001
12,finetune,0.603982,0.681401,0.585746,0.671916,0.667908,0.659766,0.595469,0.547619,0.652482,0.325,6.173e-05
13,finetune,0.584876,0.704977,0.569606,0.703412,0.70461,0.693654,0.638978,0.581395,0.70922,0.45,2.929e-05
14,finetune,0.584757,0.704322,0.562715,0.664042,0.695301,0.662813,0.642458,0.529954,0.815603,0.325,7.61e-06
