epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.652429,0.629666,0.61333,0.727034,0.673626,0.680802,0.559322,0.694737,0.468085,0.444444,0.267857,0.081633,0.058824,0.468085,0.102564,0.081633,0.064103,0.780745,False,0.35,0.001
2,head,0.647088,0.639162,0.593171,0.692913,0.658245,0.661539,0.558491,0.596774,0.524823,0.535354,0.366071,0.061224,0.082353,0.524823,0.269231,0.061224,0.076923,0.73738,False,0.45,0.00085355
3,head,0.639032,0.648657,0.584395,0.732283,0.671941,0.679187,0.548673,0.729412,0.439716,0.414141,0.25,0.040816,0.047059,0.439716,0.102564,0.040816,0.038462,0.78114,False,0.475,0.0005
4,head,0.631224,0.657826,0.58411,0.732283,0.671941,0.679187,0.548673,0.729412,0.439716,0.414141,0.25,0.040816,0.058824,0.439716,0.102564,0.040816,0.051282,0.779217,False,0.475,0.00014645
5,finetune,0.629823,0.657171,0.517553,0.75853,0.755674,0.747682,0.695364,0.652174,0.744681,0.737374,0.419643,0.183673,0.152941,0.744681,0.217949,0.183673,0.153846,0.891116,False,0.475,0.0002
6,finetune,0.592607,0.696136,0.584542,0.761155,0.727039,0.733867,0.648649,0.711864,0.595745,0.575758,0.294643,0.122449,0.105882,0.595745,0.089744,0.122449,0.102564,0.868752,False,0.275,0.00019511
7,finetune,0.564334,0.719712,0.491139,0.80315,0.777926,0.783793,0.719101,0.761905,0.680851,0.666667,0.330357,0.040816,0.047059,0.680851,0.115385,0.040816,0.038462,0.967676,True,0.375,0.0001809
8,finetune,0.542387,0.737721,0.457009,0.808399,0.808422,0.799562,0.757475,0.7125,0.808511,0.818182,0.410714,0.081633,0.188235,0.808511,0.217949,0.081633,0.166667,0.98469,False,0.4,0.00015878
9,finetune,0.501011,0.778324,0.442557,0.808399,0.795257,0.794824,0.742049,0.739437,0.744681,0.767677,0.375,0.061224,0.082353,0.744681,0.179487,0.061224,0.089744,0.976343,True,0.4,0.0001309
10,finetune,0.492652,0.787164,0.420814,0.839895,0.817332,0.824152,0.771536,0.81746,0.730496,0.737374,0.3125,0.020408,0.082353,0.730496,0.102564,0.020408,0.064103,1.028539,True,0.525,0.0001
11,finetune,0.458806,0.801244,0.43193,0.821522,0.810062,0.809152,0.760563,0.755245,0.765957,0.777778,0.428571,0.020408,0.058824,0.765957,0.230769,0.020408,0.051282,0.997142,True,0.4,6.91e-05
12,finetune,0.450122,0.804191,0.412563,0.83727,0.82695,0.825992,0.78169,0.776224,0.787234,0.808081,0.383929,0.061224,0.082353,0.787234,0.179487,0.061224,0.076923,1.024853,True,0.475,4.122e-05
13,finetune,0.433066,0.811722,0.4119,0.832021,0.821321,0.820378,0.774648,0.769231,0.780142,0.79798,0.401786,0.040816,0.094118,0.780142,0.205128,0.040816,0.089744,1.011207,True,0.45,1.91e-05
14,finetune,0.422112,0.821546,0.402527,0.83727,0.815248,0.821575,0.768657,0.811024,0.730496,0.767677,0.330357,0.0,0.058824,0.730496,0.141026,0.0,0.064103,1.018999,True,0.5,4.89e-06
