epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.433894,0.813075,0.41012,0.84252,0.831117,0.831117,0.787234,0.787234,0.787234,0.808081,0.348214,0.061224,0.082353,0.787234,0.128205,0.061224,0.076923,1.044404,True,0.5,0.001
2,head,0.428629,0.812123,0.399248,0.847769,0.841135,0.838124,0.798611,0.782313,0.815603,0.838384,0.357143,0.061224,0.094118,0.815603,0.128205,0.061224,0.089744,1.062428,True,0.425,0.00093301
3,head,0.436066,0.814027,0.400202,0.845144,0.8332,0.833687,0.790036,0.792857,0.787234,0.818182,0.339286,0.061224,0.082353,0.787234,0.128205,0.061224,0.076923,1.046487,True,0.475,0.00075
4,head,0.431984,0.820057,0.401462,0.84252,0.826729,0.829576,0.782609,0.8,0.765957,0.787879,0.330357,0.061224,0.082353,0.765957,0.115385,0.061224,0.076923,1.036415,True,0.5,0.0005
5,head,0.439983,0.802602,0.40383,0.845144,0.837589,0.835107,0.794425,0.780822,0.808511,0.838384,0.357143,0.061224,0.094118,0.808511,0.141026,0.061224,0.089744,1.052553,True,0.425,0.00025
6,head,0.42666,0.817518,0.404155,0.850394,0.844681,0.84113,0.802768,0.783784,0.822695,0.848485,0.366071,0.061224,0.094118,0.822695,0.141026,0.061224,0.089744,1.06461,True,0.45,6.699e-05
7,finetune,0.451138,0.807045,0.398397,0.847769,0.830895,0.834734,0.788321,0.81203,0.765957,0.777778,0.366071,0.020408,0.070588,0.765957,0.153846,0.020408,0.064103,1.03913,True,0.5,0.0002
8,finetune,0.449104,0.807363,0.422355,0.832021,0.802305,0.812477,0.751938,0.82906,0.687943,0.676768,0.3125,0.061224,0.070588,0.687943,0.089744,0.061224,0.064103,0.994302,True,0.425,0.00019239
9,finetune,0.424793,0.819422,0.398659,0.850394,0.844681,0.84113,0.802768,0.783784,0.822695,0.828283,0.383929,0.040816,0.117647,0.822695,0.166667,0.040816,0.089744,1.060999,True,0.35,0.00017071
10,finetune,0.406929,0.832117,0.369188,0.863517,0.853635,0.853635,0.815603,0.815603,0.815603,0.808081,0.375,0.0,0.105882,0.815603,0.141026,0.0,0.076923,1.08525,True,0.45,0.00013827
11,finetune,0.382423,0.84259,0.389691,0.847769,0.830895,0.834734,0.788321,0.81203,0.765957,0.767677,0.339286,0.020408,0.117647,0.765957,0.128205,0.020408,0.089744,1.042976,True,0.475,0.0001
12,finetune,0.365922,0.853697,0.353947,0.866142,0.85133,0.854911,0.814545,0.835821,0.794326,0.787879,0.348214,0.020408,0.105882,0.794326,0.102564,0.020408,0.089744,1.081032,True,0.5,6.173e-05
13,finetune,0.343607,0.868296,0.349198,0.866142,0.868883,0.85964,0.829431,0.78481,0.879433,0.909091,0.401786,0.040816,0.117647,0.879433,0.192308,0.040816,0.089744,1.097367,True,0.35,2.929e-05
14,finetune,0.333287,0.871469,0.348588,0.871391,0.864273,0.862672,0.82807,0.819444,0.836879,0.858586,0.339286,0.020408,0.117647,0.836879,0.115385,0.020408,0.089744,1.105022,True,0.425,7.61e-06
