epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_threshold,lr
1,head,0.712044,0.562746,0.657077,0.610497,0.615529,0.605436,0.560748,0.5,0.638298,0.45,0.001
2,head,0.653879,0.617447,0.635586,0.643646,0.640111,0.634587,0.577049,0.536585,0.624113,0.425,0.00093301
3,head,0.639421,0.624598,0.620805,0.638122,0.657408,0.6369,0.615836,0.525,0.744681,0.425,0.00075
4,head,0.634757,0.642832,0.611917,0.679558,0.684927,0.674299,0.632911,0.571429,0.70922,0.35,0.0005
5,head,0.627446,0.647479,0.612555,0.696133,0.690799,0.686328,0.630872,0.598726,0.666667,0.5,0.00025
6,head,0.624679,0.649982,0.6054,0.696133,0.689516,0.685685,0.628378,0.6,0.659574,0.475,6.699e-05
7,finetune,0.705616,0.577762,0.690629,0.624309,0.558807,0.543895,0.352381,0.536232,0.262411,0.5,0.0002
8,finetune,0.665686,0.599213,0.68324,0.679558,0.64385,0.64696,0.539683,0.612613,0.48227,0.5,0.00019239
9,finetune,0.648728,0.639256,0.644268,0.621547,0.638699,0.620013,0.59587,0.510101,0.716312,0.45,0.00017071
10,finetune,0.622079,0.655345,0.601231,0.68232,0.696175,0.679658,0.650456,0.569149,0.758865,0.275,0.00013827
11,finetune,0.613612,0.657133,0.581461,0.685083,0.701004,0.682905,0.656627,0.570681,0.77305,0.45,0.0001
12,finetune,0.607474,0.671791,0.587833,0.732044,0.718928,0.718645,0.657244,0.65493,0.659574,0.45,6.173e-05
13,finetune,0.597724,0.681802,0.579664,0.712707,0.705658,0.702199,0.646259,0.620915,0.673759,0.5,2.929e-05
14,finetune,0.592878,0.683947,0.565829,0.712707,0.706941,0.702829,0.648649,0.619355,0.680851,0.425,7.61e-06
