epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.699739,0.51146,0.786328,0.569554,0.629078,0.567692,0.596059,0.456604,0.858156,0.888889,0.714286,0.367347,0.564706,0.858156,0.666667,0.367347,0.564103,0.629078,True,0.65,0.001
2,head,0.676057,0.546496,0.77918,0.624672,0.656738,0.623832,0.606061,0.495495,0.780142,0.79798,0.553571,0.326531,0.494118,0.780142,0.448718,0.326531,0.5,0.656738,True,0.675,0.00096194
3,head,0.670473,0.576293,0.67079,0.627297,0.658821,0.626367,0.607735,0.497738,0.780142,0.808081,0.553571,0.306122,0.494118,0.780142,0.461538,0.306122,0.5,0.658821,True,0.55,0.00085355
4,head,0.659825,0.585134,0.677981,0.650919,0.683422,0.649954,0.631579,0.518182,0.808511,0.828283,0.5625,0.306122,0.447059,0.808511,0.448718,0.306122,0.448718,0.683422,True,0.575,0.00069134
5,head,0.661109,0.579895,0.638521,0.653543,0.692819,0.653254,0.643243,0.519651,0.843972,0.858586,0.580357,0.346939,0.470588,0.843972,0.448718,0.346939,0.474359,0.692819,True,0.5,0.0005
6,head,0.650222,0.591028,0.672727,0.664042,0.693839,0.662589,0.640449,0.530233,0.808511,0.828283,0.535714,0.285714,0.435294,0.808511,0.397436,0.285714,0.448718,0.693839,True,0.575,0.00030866
7,head,0.6431,0.601179,0.699157,0.658793,0.692598,0.657942,0.640884,0.524887,0.822695,0.838384,0.535714,0.306122,0.482353,0.822695,0.397436,0.306122,0.487179,0.692598,True,0.6,0.00014645
8,head,0.647966,0.599869,0.682257,0.658793,0.695523,0.658263,0.644809,0.524444,0.836879,0.858586,0.544643,0.306122,0.482353,0.836879,0.410256,0.306122,0.487179,0.695523,True,0.575,3.806e-05
9,finetune,0.700271,0.5,0.728159,0.622047,0.651729,0.620896,0.6,0.493151,0.765957,0.747475,0.544643,0.408163,0.552941,0.765957,0.397436,0.408163,0.564103,0.651729,True,0.6,0.0002
10,finetune,0.673092,0.529797,0.750734,0.629921,0.668218,0.629666,0.619946,0.5,0.815603,0.808081,0.616071,0.408163,0.505882,0.815603,0.5,0.408163,0.5,0.668218,True,0.625,0.00019511
11,finetune,0.679678,0.555992,0.824508,0.582677,0.640957,0.581281,0.605459,0.465649,0.865248,0.838384,0.714286,0.489796,0.6,0.865248,0.602564,0.489796,0.589744,0.640957,True,0.675,0.0001809
12,finetune,0.665721,0.559594,0.694229,0.661417,0.680053,0.657644,0.621701,0.53,0.751773,0.747475,0.535714,0.346939,0.376471,0.751773,0.397436,0.346939,0.384615,0.680053,True,0.575,0.00015878
13,finetune,0.62812,0.601179,0.66436,0.708661,0.697074,0.693021,0.623729,0.597403,0.652482,0.636364,0.508929,0.081633,0.094118,0.652482,0.384615,0.081633,0.089744,0.697074,True,0.625,0.0001309
14,finetune,0.633461,0.637197,0.753923,0.692913,0.700665,0.685628,0.637771,0.565934,0.730496,0.717172,0.544643,0.22449,0.211765,0.730496,0.410256,0.22449,0.205128,0.700665,True,0.7,0.0001
15,finetune,0.620828,0.645711,0.647502,0.721785,0.720656,0.711182,0.655844,0.60479,0.716312,0.69697,0.455357,0.265306,0.211765,0.716312,0.269231,0.265306,0.217949,0.720656,True,0.6,6.91e-05
16,finetune,0.604129,0.667976,0.643536,0.755906,0.7375,0.737846,0.669039,0.671429,0.666667,0.646465,0.383929,0.102041,0.152941,0.666667,0.192308,0.102041,0.153846,0.7375,True,0.675,4.122e-05
17,finetune,0.591506,0.688605,0.612599,0.761155,0.74898,0.746366,0.685121,0.668919,0.702128,0.676768,0.446429,0.081633,0.129412,0.702128,0.269231,0.081633,0.115385,0.74898,True,0.625,1.91e-05
18,finetune,0.577835,0.697773,0.606489,0.750656,0.749424,0.740324,0.688525,0.640244,0.744681,0.727273,0.482143,0.142857,0.164706,0.744681,0.307692,0.142857,0.153846,0.749424,True,0.6,4.89e-06
