epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.687467,0.550244,0.679498,0.572358,0.543512,0.486069,0.696655,0.564134,0.910553,0.929889,0.918679,0.536765,0.752768,0.910553,0.95082,0.533835,0.752768,0.543512,True,0.475,0.001
2,head,0.662595,0.598051,0.68446,0.592412,0.564676,0.516021,0.708301,0.576753,0.917588,0.97417,0.92122,0.360294,0.686347,0.917588,0.970492,0.368421,0.686347,0.564676,True,0.425,0.00097553
3,head,0.657808,0.611279,0.674968,0.619512,0.597774,0.575015,0.712531,0.601244,0.874372,0.940959,0.884371,0.191176,0.453875,0.874372,0.957377,0.195489,0.453875,0.597774,True,0.425,0.00090451
4,head,0.643914,0.630541,0.690121,0.626558,0.606964,0.590425,0.712077,0.609442,0.856281,0.940959,0.880559,0.110294,0.387454,0.856281,0.963934,0.112782,0.387454,0.606964,True,0.45,0.00079389
5,head,0.6431,0.634486,0.680175,0.622764,0.601475,0.580278,0.713816,0.604036,0.872362,0.95572,0.890724,0.147059,0.442804,0.872362,0.980328,0.150376,0.442804,0.601475,True,0.5,0.00065451
6,head,0.638891,0.644697,0.682511,0.615176,0.59504,0.57628,0.704659,0.601136,0.851256,0.95203,0.858958,0.139706,0.420664,0.851256,0.967213,0.142857,0.420664,0.59504,True,0.475,0.0005
7,head,0.62891,0.656301,0.70612,0.61626,0.597674,0.582731,0.701014,0.604516,0.834171,0.948339,0.839898,0.117647,0.376384,0.834171,0.967213,0.120301,0.376384,0.597674,True,0.375,0.00034549
8,head,0.627895,0.660246,0.685698,0.625474,0.605788,0.588946,0.711482,0.608571,0.856281,0.948339,0.872935,0.117647,0.383764,0.856281,0.967213,0.120301,0.383764,0.605788,True,0.475,0.00020611
9,head,0.636092,0.648178,0.685895,0.623848,0.603766,0.585828,0.711314,0.606813,0.859296,0.95203,0.874206,0.125,0.402214,0.859296,0.970492,0.12782,0.402214,0.603766,True,0.45,9.549e-05
10,head,0.628115,0.654676,0.689482,0.625474,0.604159,0.583133,0.715988,0.605702,0.875377,0.96679,0.885642,0.125,0.439114,0.875377,0.97377,0.12782,0.439114,0.604159,True,0.4,2.447e-05
11,finetune,0.702697,0.515665,0.684,0.565312,0.537922,0.486964,0.687451,0.561426,0.886432,0.892989,0.913596,0.566176,0.690037,0.886432,0.967213,0.56391,0.690037,0.537922,True,0.55,0.0002
12,finetune,0.664347,0.594105,0.685498,0.569648,0.539113,0.471526,0.699242,0.561094,0.927638,0.907749,0.949174,0.625,0.789668,0.927638,0.963934,0.62406,0.789668,0.539113,True,0.575,0.00019749
13,finetune,0.653404,0.617313,0.708974,0.603794,0.58003,0.549212,0.706072,0.588472,0.882412,0.95941,0.895807,0.227941,0.594096,0.882412,0.977049,0.218045,0.594096,0.58003,True,0.575,0.0001901
14,finetune,0.643018,0.637735,0.721903,0.608672,0.581723,0.539059,0.718189,0.587109,0.924623,0.99262,0.928844,0.235294,0.675277,0.924623,0.990164,0.225564,0.675277,0.581723,True,0.6,0.00017818
15,finetune,0.622032,0.668601,0.701796,0.642818,0.617325,0.585129,0.739834,0.609233,0.941709,0.98893,0.946633,0.154412,0.512915,0.941709,0.990164,0.150376,0.512915,0.617325,True,0.325,0.00016235
16,finetune,0.615398,0.666744,0.68028,0.63523,0.611318,0.58354,0.730261,0.607333,0.915578,0.98893,0.919949,0.125,0.483395,0.915578,0.990164,0.120301,0.483395,0.611318,True,0.425,0.00014339
17,finetune,0.601571,0.68531,0.672275,0.641734,0.622406,0.607622,0.723315,0.619799,0.868342,0.95941,0.870394,0.036765,0.416974,0.868342,0.967213,0.037594,0.416974,0.622406,True,0.6,0.00012225
18,finetune,0.592819,0.699698,0.753206,0.647696,0.626819,0.608914,0.732069,0.620545,0.892462,0.97786,0.903431,0.066176,0.402214,0.892462,0.986885,0.06015,0.402214,0.626819,True,0.6,0.0001
19,finetune,0.593571,0.695289,0.729714,0.604878,0.586607,0.571631,0.690971,0.597507,0.819095,0.95572,0.791614,0.110294,0.564576,0.819095,0.918033,0.105263,0.564576,0.586607,True,0.65,7.775e-05
20,finetune,0.58431,0.705036,0.716532,0.601084,0.588147,0.582526,0.670546,0.60452,0.752764,0.96679,0.750953,0.051471,0.405904,0.752764,0.960656,0.045113,0.405904,0.588147,True,0.575,5.661e-05
21,finetune,0.563458,0.725922,0.751386,0.612466,0.594242,0.579858,0.696905,0.602639,0.826131,0.940959,0.805591,0.125,0.586716,0.826131,0.931148,0.120301,0.586716,0.594242,True,0.65,3.765e-05
22,finetune,0.554102,0.730796,0.732105,0.609214,0.588226,0.566687,0.702435,0.595938,0.855276,0.95941,0.829733,0.176471,0.675277,0.855276,0.918033,0.172932,0.675277,0.588226,True,0.6,2.182e-05
23,finetune,0.556185,0.724298,0.73628,0.61897,0.60773,0.604577,0.680018,0.621464,0.750754,0.937269,0.72554,0.051471,0.424354,0.750754,0.868852,0.045113,0.424354,0.60773,True,0.7,9.9e-06
24,finetune,0.534814,0.749594,0.748271,0.622764,0.602418,0.583727,0.711203,0.605654,0.861307,0.9631,0.847522,0.102941,0.590406,0.861307,0.947541,0.097744,0.590406,0.602418,True,0.6,2.51e-06
