epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.730878,0.547227,0.671163,0.590786,0.567198,0.535602,0.695687,0.580754,0.867337,0.878229,0.890724,0.389706,0.571956,0.867337,0.927869,0.390977,0.571956,0.567198,True,0.525,0.001
2,head,0.69437,0.605941,0.689493,0.584282,0.555081,0.4977,0.706243,0.570545,0.926633,0.97786,0.930114,0.448529,0.726937,0.926633,0.986885,0.451128,0.726937,0.555081,True,0.45,0.00097553
3,head,0.691227,0.612207,0.709206,0.58916,0.570662,0.554151,0.679086,0.586686,0.80603,0.911439,0.829733,0.227941,0.405904,0.80603,0.967213,0.225564,0.405904,0.570662,True,0.4,0.00090451
4,head,0.677541,0.631237,0.700879,0.600542,0.574871,0.536459,0.708811,0.583984,0.901508,0.97786,0.907243,0.294118,0.590406,0.901508,0.990164,0.293233,0.590406,0.574871,True,0.425,0.00079389
5,head,0.676809,0.627756,0.682392,0.61897,0.597615,0.575894,0.711056,0.60153,0.869347,0.95572,0.885642,0.176471,0.428044,0.869347,0.983607,0.180451,0.428044,0.597615,True,0.425,0.00065451
6,head,0.676449,0.629612,0.686408,0.607588,0.584833,0.557815,0.706169,0.59224,0.874372,0.96679,0.8831,0.235294,0.490775,0.874372,0.986885,0.233083,0.490775,0.584833,True,0.425,0.0005
7,head,0.659472,0.649107,0.68839,0.615176,0.592383,0.566009,0.712084,0.596873,0.882412,0.97048,0.893266,0.205882,0.476015,0.882412,0.986885,0.203008,0.476015,0.592383,True,0.425,0.00034549
8,head,0.667628,0.636575,0.683142,0.618428,0.596855,0.574469,0.711239,0.600832,0.871357,0.95941,0.885642,0.161765,0.450185,0.871357,0.983607,0.165414,0.450185,0.596855,True,0.475,0.00020611
9,head,0.655744,0.643769,0.692263,0.61626,0.594931,0.573042,0.708882,0.599861,0.866332,0.9631,0.871665,0.176471,0.442804,0.866332,0.980328,0.172932,0.442804,0.594931,True,0.425,9.549e-05
10,head,0.655609,0.645393,0.694491,0.617886,0.595752,0.571678,0.712362,0.599588,0.877387,0.96679,0.8831,0.183824,0.453875,0.877387,0.983607,0.180451,0.453875,0.595752,True,0.4,2.447e-05
11,finetune,48398.823097,0.50058,5830.177491,0.460705,0.5,0.315399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,True,0.25,0.0002
12,finetune,162686240547410.0,0.520306,0.682609,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.00019749
13,finetune,4.166939096852062e+16,0.492458,0.682747,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.0001901
14,finetune,1.5056478256128762e+16,0.491529,0.682618,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.00017818
15,finetune,0.763769,0.493154,0.682535,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.00016235
16,finetune,0.76333,0.496171,0.682407,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.00014339
17,finetune,0.762914,0.498027,0.682271,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.00012225
18,finetune,0.762745,0.488977,0.682259,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,0.0001
19,finetune,0.762342,0.501973,0.682165,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,7.775e-05
20,finetune,0.761812,0.505222,0.682079,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,5.661e-05
21,finetune,0.761416,0.510095,0.682007,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,3.765e-05
22,finetune,0.761901,0.498724,0.681983,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,2.182e-05
23,finetune,0.761875,0.50058,0.681974,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,9.9e-06
24,finetune,0.761473,0.506614,0.68197,0.539295,0.5,0.350352,0.700704,0.539295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,True,0.25,2.51e-06
