epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.693365,0.547227,0.671163,0.590786,0.567198,0.535602,0.695687,0.580754,0.867337,0.878229,0.890724,0.389706,0.571956,0.867337,0.927869,0.390977,0.571956,0.567198,True,0.525,0.001
2,head,0.667269,0.605941,0.689493,0.584282,0.555081,0.4977,0.706243,0.570545,0.926633,0.97786,0.930114,0.448529,0.726937,0.926633,0.986885,0.451128,0.726937,0.555081,True,0.45,0.00097553
3,head,0.66417,0.612207,0.709206,0.58916,0.570662,0.554151,0.679086,0.586686,0.80603,0.911439,0.829733,0.227941,0.405904,0.80603,0.967213,0.225564,0.405904,0.570662,True,0.4,0.00090451
4,head,0.653788,0.631237,0.700879,0.600542,0.574871,0.536459,0.708811,0.583984,0.901508,0.97786,0.907243,0.294118,0.590406,0.901508,0.990164,0.293233,0.590406,0.574871,True,0.425,0.00079389
5,head,0.656166,0.627756,0.682392,0.61897,0.597615,0.575894,0.711056,0.60153,0.869347,0.95572,0.885642,0.176471,0.428044,0.869347,0.983607,0.180451,0.428044,0.597615,True,0.425,0.00065451
6,head,0.655083,0.629612,0.686408,0.607588,0.584833,0.557815,0.706169,0.59224,0.874372,0.96679,0.8831,0.235294,0.490775,0.874372,0.986885,0.233083,0.490775,0.584833,True,0.425,0.0005
7,head,0.640143,0.649107,0.68839,0.615176,0.592383,0.566009,0.712084,0.596873,0.882412,0.97048,0.893266,0.205882,0.476015,0.882412,0.986885,0.203008,0.476015,0.592383,True,0.425,0.00034549
8,head,0.648985,0.636575,0.683142,0.618428,0.596855,0.574469,0.711239,0.600832,0.871357,0.95941,0.885642,0.161765,0.450185,0.871357,0.983607,0.165414,0.450185,0.596855,True,0.475,0.00020611
9,head,0.637389,0.643769,0.692263,0.61626,0.594931,0.573042,0.708882,0.599861,0.866332,0.9631,0.871665,0.176471,0.442804,0.866332,0.980328,0.172932,0.442804,0.594931,True,0.425,9.549e-05
10,head,0.638563,0.645393,0.694491,0.617886,0.595752,0.571678,0.712362,0.599588,0.877387,0.96679,0.8831,0.183824,0.453875,0.877387,0.983607,0.180451,0.453875,0.595752,True,0.4,2.447e-05
11,finetune,0.698513,0.527733,0.701712,0.542547,0.515531,0.46329,0.669538,0.548428,0.859296,0.933579,0.875476,0.507353,0.760148,0.859296,0.996721,0.496241,0.760148,0.515531,True,0.55,0.0002
12,finetune,0.67249,0.599443,0.743713,0.538753,0.511927,0.460153,0.666144,0.546332,0.853266,0.97048,0.860229,0.536765,0.782288,0.853266,0.990164,0.533835,0.782288,0.511927,True,0.65,0.00019749
13,finetune,0.672108,0.596658,0.708187,0.586992,0.563423,0.531495,0.692742,0.578451,0.863317,0.97048,0.874206,0.242647,0.623616,0.863317,0.983607,0.233083,0.623616,0.563423,True,0.625,0.0001901
14,finetune,0.6517,0.643537,0.705186,0.624932,0.599456,0.564965,0.726482,0.598697,0.923618,0.929889,0.933926,0.169118,0.616236,0.923618,0.97377,0.165414,0.616236,0.599456,True,0.625,0.00017818
15,finetune,0.637024,0.663727,0.697473,0.60542,0.584195,0.561651,0.700165,0.593161,0.854271,0.95941,0.866582,0.154412,0.538745,0.854271,0.986885,0.150376,0.538745,0.584195,True,0.575,0.00016235
16,finetune,0.637717,0.663495,0.746635,0.63252,0.606577,0.571344,0.733281,0.602456,0.936683,0.98155,0.937738,0.154412,0.583026,0.936683,0.986885,0.142857,0.583026,0.606577,True,0.675,0.00014339
17,finetune,0.628694,0.670689,0.715108,0.60542,0.578365,0.534766,0.716069,0.585086,0.922613,0.98155,0.917408,0.242647,0.671587,0.922613,0.986885,0.233083,0.671587,0.578365,True,0.6,0.00012225
18,finetune,0.620239,0.676491,0.695268,0.601626,0.577419,0.544776,0.705647,0.586551,0.885427,0.98524,0.886912,0.183824,0.656827,0.885427,1.0,0.172932,0.656827,0.577419,True,0.6,0.0001
19,finetune,0.606886,0.700162,0.754306,0.583198,0.55339,0.492491,0.707048,0.569325,0.932663,0.98893,0.930114,0.375,0.856089,0.932663,1.0,0.360902,0.856089,0.55339,True,0.6,7.775e-05
20,finetune,0.602492,0.7055,0.760816,0.595122,0.570961,0.537748,0.700601,0.582667,0.878392,0.97786,0.876747,0.235294,0.749077,0.878392,0.983607,0.225564,0.749077,0.570961,True,0.675,5.661e-05
21,finetune,0.592841,0.714783,0.79201,0.603794,0.579858,0.548434,0.706544,0.588235,0.884422,0.97417,0.8831,0.191176,0.701107,0.884422,0.986885,0.180451,0.701107,0.579858,True,0.7,3.765e-05
22,finetune,0.589998,0.706893,0.760786,0.607588,0.585004,0.558537,0.705691,0.592491,0.872362,0.98155,0.872935,0.161765,0.664207,0.872362,0.993443,0.150376,0.664207,0.585004,True,0.65,2.182e-05
23,finetune,0.571808,0.736134,0.792244,0.60813,0.585336,0.558245,0.706694,0.592517,0.875377,0.98155,0.875476,0.176471,0.667897,0.875377,0.990164,0.157895,0.667897,0.585336,True,0.675,9.9e-06
24,finetune,0.573974,0.733349,0.786861,0.612466,0.588241,0.556775,0.713886,0.593085,0.896482,0.98155,0.897078,0.198529,0.686347,0.896482,0.993443,0.180451,0.686347,0.588241,True,0.65,2.51e-06
