epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,finetune,0.60206,0.681365,0.767134,0.6,0.585256,0.576912,0.675747,0.600312,0.772864,0.97417,0.761118,0.073529,0.457565,0.772864,0.944262,0.075188,0.457565,0.585256,True,0.55,0.0001
2,finetune,0.594233,0.687631,0.749597,0.601084,0.583603,0.570142,0.68547,0.596283,0.80603,0.97786,0.795426,0.088235,0.531365,0.80603,0.954098,0.090226,0.531365,0.583603,True,0.525,9.83e-05
3,finetune,0.598785,0.687166,0.733176,0.609214,0.589512,0.571403,0.698705,0.597997,0.840201,0.97786,0.829733,0.095588,0.564576,0.840201,0.957377,0.097744,0.564576,0.589512,True,0.525,9.33e-05
4,finetune,0.578986,0.698538,0.77803,0.609214,0.588741,0.568616,0.700954,0.596751,0.849246,0.98155,0.839898,0.110294,0.579336,0.849246,0.960656,0.112782,0.579336,0.588741,True,0.5,8.536e-05
5,finetune,0.594917,0.689487,0.75326,0.610298,0.589403,0.568214,0.703015,0.596774,0.855276,0.98155,0.844981,0.117647,0.590406,0.855276,0.960656,0.120301,0.590406,0.589403,True,0.5,7.5e-05
6,finetune,0.588627,0.693896,0.765287,0.603794,0.585773,0.571293,0.689333,0.597202,0.815075,0.97417,0.801779,0.088235,0.538745,0.815075,0.954098,0.090226,0.538745,0.585773,True,0.55,6.294e-05
7,finetune,0.583833,0.696913,0.756415,0.607046,0.586988,0.567795,0.698042,0.596017,0.842211,0.97786,0.831004,0.110294,0.579336,0.842211,0.954098,0.112782,0.579336,0.586988,True,0.525,5e-05
8,finetune,0.579748,0.706196,0.760237,0.61084,0.587162,0.557419,0.711183,0.592891,0.888442,0.98524,0.886912,0.154412,0.627306,0.888442,0.993443,0.157895,0.627306,0.587162,True,0.5,3.706e-05
9,finetune,0.587189,0.696913,0.756908,0.614634,0.592137,0.566639,0.710858,0.596995,0.878392,0.98524,0.878018,0.139706,0.601476,0.878392,0.983607,0.142857,0.601476,0.592137,True,0.525,2.5e-05
10,finetune,0.578534,0.703411,0.757668,0.61084,0.587419,0.558548,0.710484,0.593266,0.885427,0.98524,0.886912,0.154412,0.619926,0.885427,0.993443,0.157895,0.619926,0.587419,True,0.5,1.464e-05
11,finetune,0.581798,0.702251,0.758698,0.61084,0.587334,0.558173,0.710717,0.593141,0.886432,0.98524,0.886912,0.154412,0.623616,0.886432,0.993443,0.157895,0.623616,0.587334,True,0.5,6.7e-06
12,finetune,0.573946,0.707125,0.759297,0.611382,0.587922,0.558976,0.711004,0.59354,0.886432,0.98524,0.885642,0.154412,0.623616,0.886432,0.990164,0.157895,0.623616,0.587922,True,0.5,1.7e-06
