epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.682216,0.577349,0.663104,0.646928,0.604575,0.602868,0.470588,0.588889,0.391867,0.233463,0.359574,0.177305,0.1341,0.391867,0.241611,0.153226,0.13834,0.604575,True,0.525,0.001
2,head,0.66213,0.606585,0.642348,0.618061,0.62961,0.61632,0.590476,0.517385,0.687616,0.595331,0.621277,0.276596,0.35249,0.687616,0.510067,0.241935,0.363636,0.62961,True,0.35,0.00093301
3,head,0.653286,0.62092,0.630808,0.612879,0.633269,0.612662,0.603487,0.511568,0.735675,0.66537,0.642553,0.333333,0.348659,0.735675,0.557047,0.290323,0.359684,0.633269,True,0.35,0.00075
4,head,0.641463,0.636106,0.632079,0.622502,0.641908,0.622154,0.610687,0.520156,0.739372,0.66537,0.646809,0.276596,0.35249,0.739372,0.543624,0.233871,0.363636,0.641908,True,0.425,0.0005
5,head,0.635371,0.646608,0.622612,0.635085,0.651174,0.634212,0.616342,0.532258,0.731978,0.661479,0.638298,0.29078,0.318008,0.731978,0.540268,0.241935,0.328063,0.651174,True,0.375,0.00025
6,head,0.632894,0.64604,0.622578,0.635825,0.648415,0.634238,0.610143,0.533981,0.711645,0.645914,0.621277,0.283688,0.283525,0.711645,0.533557,0.241935,0.29249,0.648415,True,0.4,6.699e-05
7,finetune,0.679861,0.577633,0.667979,0.585492,0.608281,0.585474,0.582712,0.48814,0.722736,0.607004,0.63617,0.524823,0.517241,0.722736,0.506711,0.483871,0.529644,0.608281,True,0.3,0.0002
8,finetune,0.651605,0.635538,0.610698,0.658031,0.666627,0.655266,0.62439,0.557329,0.709797,0.599222,0.57234,0.29078,0.409962,0.709797,0.426174,0.209677,0.422925,0.666627,True,0.375,0.00019239
9,finetune,0.620498,0.667045,0.62576,0.69356,0.693801,0.687704,0.64494,0.6016,0.695009,0.575875,0.557447,0.184397,0.298851,0.695009,0.416107,0.104839,0.3083,0.693801,True,0.575,0.00017071
10,finetune,0.606014,0.686631,0.573364,0.708364,0.711978,0.703839,0.66723,0.614308,0.730129,0.622568,0.56383,0.241135,0.268199,0.730129,0.399329,0.169355,0.27668,0.711978,True,0.325,0.00013827
11,finetune,0.580692,0.710758,0.569996,0.716506,0.718461,0.711383,0.672929,0.625397,0.728281,0.657588,0.506383,0.156028,0.252874,0.728281,0.342282,0.096774,0.256917,0.718461,True,0.3,0.0001
12,finetune,0.55152,0.741555,0.537862,0.735751,0.735739,0.729951,0.690373,0.650327,0.735675,0.657588,0.47234,0.198582,0.272031,0.735675,0.281879,0.129032,0.280632,0.735739,True,0.475,6.173e-05
13,finetune,0.524926,0.757309,0.529554,0.740192,0.735452,0.732438,0.686887,0.663793,0.711645,0.653696,0.459574,0.148936,0.218391,0.711645,0.278523,0.096774,0.225296,0.735452,True,0.5,2.929e-05
14,finetune,0.513693,0.766108,0.512261,0.743153,0.74007,0.736157,0.693192,0.664407,0.724584,0.673152,0.470213,0.170213,0.214559,0.724584,0.291946,0.120968,0.213439,0.74007,True,0.4,7.61e-06
