epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.674366,0.581186,0.664737,0.545455,0.575137,0.540494,0.588235,0.476783,0.76769,0.806338,0.722992,0.378205,0.472414,0.76769,0.713592,0.38255,0.463504,0.575137,True,0.425,0.001
2,head,0.64801,0.619562,0.653528,0.573687,0.599242,0.571378,0.602841,0.497396,0.76502,0.81338,0.692521,0.352564,0.410345,0.76502,0.662621,0.355705,0.39781,0.599242,True,0.4,0.00093301
3,head,0.63973,0.623303,0.658006,0.581592,0.598958,0.581419,0.589928,0.503781,0.711615,0.774648,0.634349,0.282051,0.324138,0.711615,0.616505,0.281879,0.313869,0.598958,True,0.4,0.00075
4,head,0.629771,0.639928,0.649156,0.607566,0.62396,0.607526,0.611515,0.525962,0.730307,0.764085,0.626039,0.288462,0.3,0.730307,0.563107,0.288591,0.288321,0.62396,True,0.425,0.0005
5,head,0.625258,0.659601,0.646326,0.596273,0.61899,0.595181,0.61621,0.51526,0.766355,0.792254,0.67036,0.346154,0.355172,0.766355,0.604369,0.348993,0.346715,0.61899,True,0.375,0.00025
6,head,0.624448,0.647132,0.646127,0.625071,0.623434,0.620751,0.580278,0.55102,0.612817,0.598592,0.50831,0.237179,0.234483,0.612817,0.412621,0.241611,0.229927,0.623434,True,0.425,6.699e-05
7,finetune,0.649404,0.619008,0.646245,0.608131,0.633187,0.606472,0.632025,0.524186,0.795728,0.739437,0.767313,0.262821,0.248276,0.795728,0.703883,0.261745,0.237226,0.633187,True,0.3,0.0002
8,finetune,0.608335,0.670684,0.62276,0.668549,0.657717,0.658486,0.599864,0.612813,0.58745,0.559859,0.479224,0.064103,0.151724,0.58745,0.393204,0.053691,0.149635,0.657717,True,0.525,0.00019239
9,finetune,0.587678,0.694375,0.605815,0.686053,0.696065,0.685489,0.67217,0.601901,0.761015,0.711268,0.606648,0.217949,0.27931,0.761015,0.461165,0.201342,0.281022,0.696065,True,0.5,0.00017071
10,finetune,0.571053,0.71197,0.584776,0.695652,0.705274,0.694998,0.680876,0.611702,0.76769,0.669014,0.635734,0.166667,0.148276,0.76769,0.473301,0.147651,0.145985,0.705274,True,0.425,0.00013827
11,finetune,0.541741,0.733583,0.611097,0.713156,0.712772,0.709488,0.676845,0.646416,0.71028,0.605634,0.547091,0.134615,0.144828,0.71028,0.356796,0.114094,0.145985,0.712772,True,0.275,0.0001
12,finetune,0.514242,0.759629,0.559695,0.730096,0.732442,0.727496,0.700876,0.6596,0.747664,0.623239,0.581717,0.153846,0.12069,0.747664,0.373786,0.14094,0.120438,0.732442,True,0.35,6.173e-05
13,finetune,0.501674,0.77182,0.53402,0.758329,0.754943,0.753613,0.719528,0.706564,0.732977,0.584507,0.495845,0.134615,0.210345,0.732977,0.228155,0.114094,0.215328,0.754943,True,0.55,2.929e-05
14,finetune,0.488663,0.77944,0.51854,0.760587,0.756543,0.755599,0.720685,0.711313,0.730307,0.588028,0.498615,0.134615,0.17931,0.730307,0.235437,0.114094,0.182482,0.756543,True,0.45,7.61e-06
